"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1767";"35.549";"-0.441829";"1.51887";"20";"356.088";"10";"0.0460825";"0.354342";"1.80044";"9.50977";"0";"1591104480163"
"1768";"35.549";"-0.441831";"0.757873";"20";"0";"10";"0.199109";"-1.47004";"3.75411";"7.89608";"0";"1591104481193"
"1769";"35.549";"-0.441832";"0.250012";"20";"0";"10";"0.0502028";"-2.64799";"2.93529";"8.25521";"0";"1591104482202"
"1770";"35.549";"-0.441832";"0.0310899";"20";"0";"10";"0.023412";"-0.943315";"3.46202";"9.28471";"0";"1591104483207"
"1771";"35.549";"-0.441832";"0.0289844";"20";"180";"10";"0.108045";"0.172383";"3.82115";"7.83383";"0";"1591104484254"
"1772";"35.549";"-0.441832";"0.0283998";"20";"180";"10";"0.0635929";"-1.69988";"2.52349";"9.69173";"0";"1591104485263"
"1773";"35.549";"-0.441832";"0.0156686";"20";"180";"10";"0.302527";"-4.39097";"1.96803";"9.73004";"0";"1591104486267"
"1774";"35.549";"-0.441832";"0.00602683";"20";"180";"10";"0.0872617";"3.3854";"2.1883";"9.80186";"0";"1591104487276"
"1775";"35.549";"-0.441832";"0.00133932";"20";"180";"10";"0.229982";"3.62482";"2.69108";"8.22648";"0";"1591104488269"
"1776";"35.549";"-0.441832";"0.000240212";"20";"0";"10";"0.0260991";"0.962469";"3.01191";"9.42837";"0";"1591104489287"
"1777";"35.549";"-0.441832";"0.000463673";"20";"0";"10";"0.0115652";"0.311246";"2.83473";"9.22725";"0";"1591104490267"
"1778";"35.549";"-0.441832";"0.000301888";"20";"0";"10";"0.114196";"-2.35589";"4.40533";"9.50019";"0";"1591104491276"
"1779";"35.549";"-0.441832";"0.000134542";"20";"0";"10";"0.0659071";"0.402226";"2.70066";"9.71088";"0";"1591104492265"
"1780";"35.549";"-0.441832";"3.94682e-05";"20";"0";"10";"0.107919";"-1.35033";"4.68785";"7.91044";"0";"1591104493259"
"1781";"35.549";"-0.441832";"2.15058e-06";"20";"0";"10";"0.0925522";"0.335188";"5.88974";"7.15866";"0";"1591104494258"
"1782";"35.549";"-0.441832";"6.63058e-06";"20";"180";"10";"0.0918708";"3.06458";"3.82115";"9.32302";"0";"1591104495274"
"1783";"35.549";"-0.441832";"5.52556e-06";"20";"180";"10";"0.216564";"-0.833182";"5.66468";"8.32224";"0";"1591104496251"
"1784";"35.549";"-0.441832";"2.78631e-06";"20";"180";"10";"0.103241";"3.33752";"4.39097";"6.63194";"0";"1591104497294"
"1785";"35.549";"-0.441832";"9.84515e-07";"20";"180";"10";"0.0637894";"-0.675165";"6.6463";"5.27682";"0";"1591104498271"
"1786";"35.549";"-0.441832";"1.71948e-07";"20";"180";"10";"0.0930787";"-6.31112";"3.37104";"5.89452";"0";"1591104499230"
"1787";"35.549";"-0.441832";"7.43798e-08";"20";"0";"10";"0.175981";"-6.52181";"2.01113";"10.0556";"0";"1591104500262"
