"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1";"35.6716";"-0.629014";"0";"0";"0";"0";"0.37044";"0.174777";"1.24498";"9.86411";"0";"1598262652248"
"2";"35.6723";"-0.629242";"1.51883";"20";"312.954";"10";"0.0271257";"-0.1652";"4.15753";"9.03332";"0";"1598262656396"
"3";"35.6723";"-0.629253";"2.84498";"20";"314.722";"10";"0.0216061";"0.45011";"2.85389";"9.31105";"0";"1598262656962"
"4";"35.6724";"-0.629257";"4.48936";"20";"326.818";"10";"0.0116326";"-0.466869";"3.80798";"9.34936";"0";"1598262657983"
"5";"35.6724";"-0.629287";"6.35772";"20";"330.262";"10";"0.0270217";"-0.0969652";"2.60369";"10.2795";"0";"1598262658968"
"6";"35.6725";"-0.629338";"7.73253";"20";"327.731";"10";"0.0512076";"-0.250194";"2.35111";"9.55765";"0";"1598262659977"
"7";"35.6726";"-0.6294";"8.74951";"20";"325.582";"10";"0.036173";"-0.337582";"1.79565";"9.17817";"0";"1598262660988"
"8";"35.6726";"-0.629468";"9.76175";"20";"326.181";"10";"0.0261587";"-0.324414";"2.01113";"9.76116";"0";"1598262661965"
"9";"35.6727";"-0.629524";"9.98781";"20";"327.823";"10";"0.0748657";"-1.15161";"1.8172";"9.72764";"0";"1598262662976"
"10";"35.6728";"-0.629585";"9.67165";"20";"326.546";"10";"0.0214636";"-0.311246";"1.66277";"10.7284";"0";"1598262663954"
"11";"35.6729";"-0.62964";"9.2333";"20";"326.654";"10";"0.0367192";"-0.493206";"1.35272";"10.0245";"0";"1598262664964"
"12";"35.6729";"-0.629689";"8.83705";"20";"327.928";"10";"0.0198675";"0.324414";"1.21147";"7.54652";"0";"1598262665966"
"13";"35.673";"-0.629735";"8.4312";"20";"329.091";"10";"0.0643052";"-0.308852";"1.97163";"10.3992";"0";"1598262666987"
"14";"35.673";"-0.629776";"8.21676";"20";"331.156";"10";"0.0717633";"-0.938527";"1.66158";"10.2867";"0";"1598262667984"
"15";"35.6731";"-0.629816";"8.23911";"20";"332.151";"10";"0.0721649";"-0.523133";"1.6927";"9.54089";"0";"1598262668990"
"16";"35.6732";"-0.629858";"8.24215";"20";"331.602";"10";"0.0816908";"-0.148441";"1.91776";"9.92397";"0";"1598262670006"
"17";"35.6732";"-0.629904";"7.99375";"20";"329.079";"10";"0.0626402";"0.0299275";"2.70545";"11.0145";"0";"1598262671028"
"18";"35.6733";"-0.629953";"7.91739";"20";"326.524";"10";"0.0455309";"0.148441";"1.9824";"9.36971";"0";"1598262671989"
"19";"35.6734";"-0.630006";"8.08692";"20";"325.25";"10";"0.0332446";"-0.0766145";"1.22344";"9.60314";"0";"1598262673006"
"20";"35.6734";"-0.630061";"8.19361";"20";"324.594";"10";"0.0278796";"-0.1652";"0.975637";"8.64067";"0";"1598262673981"
"21";"35.6735";"-0.630109";"8.07577";"20";"326.616";"10";"0.0593043";"0.503979";"0.33878";"8.65863";"0";"1598262674974"
"22";"35.6735";"-0.630153";"7.26603";"20";"326.98";"10";"0.0569745";"0.132878";"0.492008";"9.77074";"0";"1598262675968"
"23";"35.6736";"-0.63019";"6.15429";"20";"326.339";"10";"0.0575814";"-0.0155623";"1.13605";"9.78031";"0";"1598262676977"
"24";"35.6736";"-0.630219";"5.31739";"20";"327.316";"10";"0.0316117";"-0.29329";"1.44969";"9.73004";"0";"1598262678162"
"25";"35.6736";"-0.630248";"4.63976";"20";"325.868";"10";"0.0117663";"0.0814029";"1.403";"10.2472";"0";"1598262678968"
"26";"35.6737";"-0.630273";"4.08768";"20";"325.615";"10";"0.0195823";"-0.171185";"1.71904";"9.78391";"0";"1598262679994"
