"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"8209";"35.6863";"-0.636556";"0";"0";"0";"0";"0.00146484";"0.0957681";"-0.201113";"9.94551";"0";"1594215948439"
"8210";"35.6863";"-0.636556";"0";"0";"90";"0";"0.00312653";"0.0622492";"-0.196325";"10.0126";"0";"1594215953522"
"8211";"35.6863";"-0.636556";"0";"0";"90";"0";"0.00169146";"0.0861913";"-0.201113";"9.9934";"0";"1594215958526"
"8212";"35.6863";"-0.636556";"0";"0";"90";"0";"0.00280496";"0.0861913";"-0.191536";"9.95509";"0";"1594215963550"
"8213";"35.6863";"-0.636556";"0";"0";"90";"0";"0.00212837";"0.0957681";"-0.177171";"9.99819";"0";"1594215968692"
"8214";"35.6855";"-0.641631";"0.81";"20";"0";"10";"0.000690535";"0.0670376";"-0.21069";"9.97903";"0";"1594216781056"
"8215";"35.6855";"-0.641604";"0.149263";"20";"56.4967";"10";"0.000845727";"0.0670376";"-0.177171";"9.97424";"0";"1594216781964"
"8216";"35.6855";"-0.641594";"0.239512";"20";"62.5717";"10";"0.00284714";"0.100556";"-0.177171";"10.0221";"0";"1594216782876"
"8217";"35.6855";"-0.641594";"0.24626";"20";"75.9535";"10";"0.00119604";"0.0766145";"-0.201113";"10.0078";"0";"1594216783875"
"8218";"35.6855";"-0.6416";"0.138241";"20";"92.1603";"10";"0.000690533";"0.0909797";"-0.191536";"10.003";"0";"1594216784962"
"8219";"35.6855";"-0.641603";"0.227126";"20";"112.114";"10";"0.00348703";"0.0622492";"-0.186748";"9.98861";"0";"1594216785958"
"8220";"35.6855";"-0.641605";"0.408019";"20";"121.827";"10";"0.00169146";"0.0814029";"-0.181959";"9.99819";"0";"1594216786973"
"8221";"35.6855";"-0.641601";"0.517634";"20";"117.513";"10";"0.00558863";"0.100556";"-0.177171";"9.97903";"0";"1594216787929"
"8222";"35.6855";"-0.641594";"0.617089";"20";"118.71";"10";"0.000845727";"0.0814029";"-0.181959";"9.98861";"0";"1594216788969"
"8223";"35.6855";"-0.641586";"0.707015";"20";"129.426";"10";"0.00737289";"0.0574608";"-0.129287";"10.0796";"0";"1594216789907"
"8224";"35.6855";"-0.64158";"0.881367";"20";"142.401";"10";"0.00323889";"0.0766145";"-0.177171";"10.0221";"0";"1594216790852"
"8225";"35.6855";"-0.641572";"0.998428";"20";"149.554";"10";"0.00793363";"0.124498";"-0.229843";"10.8936";"0";"1594216791853"
"8226";"35.6855";"-0.641568";"0.766595";"20";"155.474";"10";"0.000488281";"0.0670376";"-0.191536";"9.98382";"0";"1594216792857"
"8227";"35.6854";"-0.641539";"0.524157";"-1";"157.887";"-1";"0.0049314";"0.105345";"-0.191536";"10.003";"0";"1594216806607"
"8228";"35.6854";"-0.641525";"0.545745";"0";"157.223";"0";"0.00460644";"0.0574608";"-0.201113";"9.96467";"0";"1594216812519"
"8229";"35.6852";"-0.6418";"1.31176";"20";"180.57";"10";"0.00478416";"0.0574608";"-0.196325";"10.0173";"0";"1594216812896"
"8230";"35.6852";"-0.641799";"0.748793";"20";"191.278";"10";"0.00212837";"0.0766145";"-0.196325";"9.98382";"0";"1594216813948"
"8231";"35.6852";"-0.641804";"0.219257";"20";"290.57";"10";"0.00368644";"0.0670376";"-0.172383";"9.96946";"0";"1594216814950"
"8232";"35.6853";"-0.641806";"0.642661";"20";"335.229";"10";"0.00169146";"0.0814029";"-0.196325";"9.98861";"0";"1594216815905"
"8233";"35.6853";"-0.641805";"0.88476";"20";"345.396";"10";"0.00229024";"0.0622492";"-0.181959";"10.0126";"0";"1594216816935"
"8234";"35.6853";"-0.641801";"0.757721";"20";"354.437";"10";"0.00201324";"0.0814029";"-0.167594";"10.0078";"0";"1594216817937"
"8235";"35.6853";"-0.641802";"0.628609";"20";"345.625";"10";"0.000976563";"0.0574608";"-0.191536";"9.99819";"0";"1594216818959"
"8236";"35.6853";"-0.641792";"0.492963";"20";"3.70758";"10";"0.00444845";"0.0957681";"-0.186748";"9.9934";"0";"1594216819954"
"8237";"35.6853";"-0.641782";"0.662106";"20";"2.60328";"10";"0.00138107";"0.0574608";"-0.181959";"9.98861";"0";"1594216820994"
"8238";"35.6853";"-0.641771";"0.823351";"20";"4.19015";"10";"0";"0";"0";"0";"0";"1594216826440"
"8239";"35.6842";"-0.639814";"0";"0";"0";"0";"0.0176998";"0.134075";"-0.287304";"9.70609";"0";"1594217976385"
"8240";"35.6842";"-0.639814";"0";"0";"90";"0";"0.00169145";"0.0670376";"-0.196325";"9.97903";"0";"1594217982457"
"8241";"35.6855";"-0.641597";"0.161742";"20";"220.758";"10";"0.00300997";"0.0622492";"-0.186748";"9.9934";"0";"1594217984925"
"8242";"35.6855";"-0.641625";"0.454547";"20";"237.676";"10";"0.00439453";"0.105345";"-0.186748";"9.97424";"0";"1594217985907"
"8243";"35.6855";"-0.641649";"0.777389";"20";"250.344";"10";"0.00138107";"0.0909797";"-0.201113";"10.003";"0";"1594217986867"
"8244";"35.6855";"-0.641664";"0.950647";"20";"254.495";"10";"0.00284714";"0.071826";"-0.186748";"9.98382";"0";"1594217987923"
"8245";"35.6842";"-0.639814";"0";"0";"0";"0";"0.00629106";"0.0861913";"-0.153229";"9.9503";"0";"1594218561924"
"8246";"35.67";"-0.628975";"0.15";"20";"0";"10";"0.0852481";"-0.957681";"2.98796";"9.85932";"0";"1597491794774"
"8247";"35.6701";"-0.628957";"0.00649346";"20";"26.0603";"10";"0.0034527";"-0.679953";"2.79643";"9.42358";"0";"1597491795757"
"8248";"35.6701";"-0.628961";"0.202446";"20";"336.9";"10";"0.0127609";"-0.632069";"2.72939";"9.50019";"0";"1597491796742"
