"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"3228";"35.6428";"-0.623018";"0.227511";"0";"11.3318";"0";"0.17112";"-0.47884";"2.65756";"8.91601";"0";"1591458300382"
"3229";"35.6428";"-0.623018";"0.211388";"0";"9.04135";"0";"0.0753964";"-0.995988";"2.9305";"9.11712";"0";"1591458301801"
"3230";"35.6435";"-0.623948";"5.25362";"0";"313.091";"0";"0.136259";"-1.04387";"2.03028";"11.4491";"0";"1591458310409"
"3231";"35.6437";"-0.623947";"5.34991";"0";"336.603";"0";"0.0113151";"1.05824";"2.02071";"9.45231";"0";"1591458314061"
"3232";"35.6439";"-0.623881";"5.29472";"0";"2.43958";"0";"0.0787844";"1.39343";"2.70545";"9.06445";"0";"1591458318840"
"3233";"35.6441";"-0.623851";"7.17418";"20";"1.33589";"10";"0.11584";"-1.35033";"3.23696";"10.9128";"0";"1591458319525"
"3234";"35.6441";"-0.623835";"7.06985";"20";"1.09469";"10";"0.0654679";"0.80924";"2.95923";"8.93037";"0";"1591458320168"
"3235";"35.6442";"-0.62383";"7.85742";"20";"3.06562";"10";"0.053917";"-0.181959";"2.32716";"9.68694";"0";"1591458321185"
"3236";"35.6443";"-0.62383";"9.29481";"20";"6.19291";"10";"0.113903";"0.411803";"2.02549";"7.8051";"0";"1591458322191"
"3237";"35.6444";"-0.623819";"10.3545";"20";"6.19057";"10";"0.0829029";"-0.35913";"1.13485";"9.81144";"0";"1591458323226"
"3238";"35.6445";"-0.623812";"11.2372";"20";"2.57567";"10";"0.0501791";"1.92494";"1.68073";"9.3326";"0";"1591458324195"
"3239";"35.6446";"-0.623813";"11.4024";"20";"3.00107";"10";"0.114039";"2.5187";"2.63841";"9.47146";"0";"1591458325220"
"3240";"35.6447";"-0.623809";"11.7624";"20";"4.65098";"10";"1.67249";"0.220267";"2.92571";"11.9423";"0";"1591458326202"
"3241";"35.6448";"-0.62379";"12.2227";"20";"7.69539";"10";"0.0308546";"-1.81002";"-0.158017";"10.726";"0";"1591458327201"
"3242";"35.6449";"-0.623761";"12.0473";"20";"8.43012";"10";"0.320946";"-3.95522";"1.12527";"7.66623";"0";"1591458328212"
"3243";"35.645";"-0.623739";"11.4693";"20";"7.61795";"10";"0.469095";"5.35344";"5.07092";"6.90009";"0";"1591458329201"
"3244";"35.6451";"-0.623719";"10.8828";"20";"7.26462";"10";"0.293466";"-0.0574608";"1.17316";"13.4889";"0";"1591458330309"
"3245";"35.6452";"-0.6237";"10.1349";"20";"7.00629";"10";"0.0345819";"0.0143652";"1.34554";"9.91199";"0";"1591458331209"
"3246";"35.6453";"-0.623688";"8.80561";"20";"6.70857";"10";"0.237303";"2.71981";"3.77805";"10.1179";"0";"1591458332187"
"3247";"35.6453";"-0.623672";"7.03058";"20";"8.71702";"10";"0.159612";"-0.411803";"2.42293";"9.76834";"0";"1591458333201"
"3248";"35.6454";"-0.623657";"5.37375";"20";"11.1993";"10";"0.197575";"0.588974";"3.18429";"9.27035";"0";"1591458334215"
"3249";"35.6454";"-0.623646";"4.24132";"20";"10.0541";"10";"0.190779";"-0.172383";"0.282516";"10.1275";"0";"1591458335215"
"3250";"35.6454";"-0.623641";"3.61589";"20";"356.108";"10";"0.148901";"-0.172383";"0.124498";"10.0461";"0";"1591458336213"
"3251";"35.6454";"-0.623645";"2.86486";"20";"355.905";"10";"0.089703";"1.72861";"0.651223";"8.96389";"1";"1591458337122"
"3252";"35.6455";"-0.623646";"1.84322";"20";"358.371";"10";"0.154692";"1.03908";"1.31202";"12.9287";"0";"1591458338219"
