"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"9209";"35.7003";"-0.649561";"5.54067";"20";"354.489";"10";"0.142572";"-0.536301";"4.5825";"7.71412";"0";"1597565877756"
"9210";"35.7003";"-0.649561";"5.54067";"20";"354.489";"10";"0";"0";"0";"0";"0";"1597565880358"
"9211";"35.6845";"-0.646428";"0";"0";"0";"0";"0.147834";"-0.943315";"-0.0143652";"6.67982";"0";"1598172749837"
"9212";"35.6847";"-0.646585";"0.0142648";"0";"322.11";"0";"0.179221";"1.10612";"-0.0191536";"7.47949";"0";"1598172753364"
"9213";"35.6848";"-0.646534";"2.64586";"20";"314.817";"10";"0.0842508";"-0.938527";"1.08697";"10.3046";"0";"1598172754572"
"9214";"35.6849";"-0.646706";"7.7219";"20";"320.25";"10";"0.199134";"-0.847547";"1.08218";"13.058";"0";"1598172755498"
"9215";"35.685";"-0.64679";"9.80214";"20";"322.134";"10";"0.0513114";"-0.579397";"1.83875";"9.07402";"0";"1598172755832"
"9216";"35.6851";"-0.646907";"11.2499";"20";"330.702";"10";"0.0675648";"-0.435745";"0.751779";"9.10275";"0";"1598172757534"
"9217";"35.6852";"-0.646945";"10.7369";"20";"335.33";"10";"0.0407152";"-0.584185";"1.17795";"9.09797";"0";"1598172758507"
"9218";"35.6853";"-0.646965";"9.97267";"20";"338.41";"10";"0.0242917";"-0.229843";"0.876278";"9.83059";"0";"1598172759587"
"9219";"35.6854";"-0.646988";"9.33219";"20";"339.116";"10";"0.0952449";"-0.502782";"0.234632";"9.27993";"0";"1598172760541"
"9220";"35.6855";"-0.647007";"8.82285";"20";"340.088";"10";"0.109678";"-0.167594";"0.68953";"9.35654";"0";"1598172761567"
"9221";"35.6855";"-0.647024";"8.75238";"20";"341.966";"10";"0.0516448";"0.0143652";"0.186748";"10.8697";"0";"1598172762553"
"9222";"35.6856";"-0.647018";"8.16508";"20";"346.492";"10";"0.123133";"-0.234632";"0.229843";"9.81623";"0";"1598172763528"
"9223";"35.6857";"-0.647028";"7.93167";"20";"345.902";"10";"0.216262";"-0.636858";"0.263362";"9.40442";"0";"1598172764523"
"9224";"35.6857";"-0.647042";"7.31135";"20";"343.943";"10";"0.0464945";"-0.0622492";"0.608127";"10.5728";"0";"1598172765521"
"9225";"35.6858";"-0.647058";"6.52199";"20";"342.564";"10";"0.0478491";"-0.354342";"0.287304";"9.84496";"0";"1598172766541"
