"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"4362";"35.6797";"-0.668034";"0";"20";"0";"10";"0.0426736";"-0.761356";"4.05578";"9.79707";"0";"1591527085850"
"4363";"35.6797";"-0.667895";"0.287562";"20";"148.982";"10";"0.0239656";"-0.258574";"4.58729";"9.01178";"0";"1591527086327"
"4364";"35.6797";"-0.667914";"0.356533";"20";"184.307";"10";"0.062196";"1.98719";"2.28407";"10.41";"0";"1591527087378"
"4365";"35.6796";"-0.667821";"1.36532";"20";"98.5638";"10";"0.480499";"4.13239";"3.57694";"9.63906";"0";"1591527093664"
"4366";"35.6796";"-0.667798";"1.83991";"20";"106.043";"10";"0.481561";"2.52349";"3.84988";"6.90488";"0";"1591527094304"
"4367";"35.6796";"-0.667792";"2.16849";"20";"132.891";"10";"0.0992833";"2.32238";"4.52983";"7.61835";"0";"1591527095344"
"4368";"35.6795";"-0.667757";"2.90936";"20";"123.621";"10";"0.2639";"3.45723";"4.02226";"7.37893";"0";"1591527096352"
"4369";"35.6795";"-0.6677";"3.87841";"20";"113.188";"10";"0.041924";"2.7246";"2.19788";"9.89284";"0";"1591527097329"
"4370";"35.6795";"-0.66762";"5.13947";"20";"106.605";"10";"0.126588";"3.76368";"6.01423";"6.32548";"0";"1591527098351"
"4371";"35.6795";"-0.667565";"5.22326";"20";"110.515";"10";"0.0921649";"3.77805";"5.26724";"8.07804";"0";"1591527099350"
"4372";"35.6795";"-0.667503";"5.71541";"20";"112.364";"10";"0.0306569";"2.61447";"5.33428";"8.65265";"0";"1591527100347"
"4373";"35.6794";"-0.667429";"6.65043";"20";"113.418";"10";"0.105171";"2.69587";"1.24498";"9.72046";"0";"1591527101344"
"4374";"35.6794";"-0.667362";"6.4264";"20";"111.949";"10";"0.0527841";"5.59285";"0.344765";"9.67736";"0";"1591527102357"
"4375";"35.6794";"-0.667321";"5.13566";"20";"118.145";"10";"0.0889342";"4.45322";"0.229843";"9.31823";"0";"1591527103352"
"4376";"35.6794";"-0.6673";"3.94593";"20";"133.149";"10";"0.150095";"8.54251";"0.828394";"7.82425";"0";"1591527104344"
"4377";"35.6793";"-0.66729";"3.2923";"20";"160.814";"10";"0.154396";"4.30956";"1.00556";"10.4004";"0";"1591527105347"
"4378";"35.6793";"-0.667298";"3.39848";"20";"183.79";"10";"0.00897693";"0.80924";"2.27449";"9.87369";"0";"1591527106382"
