"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1";"35.6429";"-0.623321";"0.21";"20";"0";"10";"0.0166016";"0.191536";"0.790087";"10.0604";"0";"1591102711432"
"2";"35.6427";"-0.623238";"0.000583029";"20";"159.809";"10";"0.012207";"0.430956";"0.0430956";"10.4435";"0";"1591102712308"
"3";"35.6427";"-0.623221";"0.117486";"20";"307.166";"10";"0.0110701";"0.383072";"0.818817";"9.83538";"0";"1591102713340"
"4";"35.6427";"-0.623216";"0.10954";"20";"323.155";"10";"0.0117796";"0.0383072";"0.938527";"10.0509";"0";"1591102714311"
"5";"35.6427";"-0.623214";"0.120782";"20";"329.376";"10";"0.00390625";"-0.00957681";"1.68073";"9.91199";"0";"1591102715025"
"6";"35.6427";"-0.623213";"0.20137";"20";"162.556";"10";"0.0339452";"-0.632069";"1.90578";"10.0748";"0";"1591102716004"
"7";"35.6427";"-0.623208";"0.636963";"20";"146.652";"10";"0.0132017";"-0.488417";"0.344765";"9.78271";"0";"1591102717043"
"8";"35.6427";"-0.623196";"1.06625";"20";"139.175";"10";"0.0146484";"-0.287304";"0.632069";"10.5776";"0";"1591102718017"
"9";"35.6427";"-0.623178";"1.31672";"20";"131.773";"10";"0.00950582";"0.952892";"-1.3216";"11.5305";"0";"1591102719048"
"10";"35.6427";"-0.62316";"1.20387";"20";"111.778";"10";"0.00784296";"-0.253785";"1.70946";"8.73405";"0";"1591102720046"
"11";"35.6427";"-0.623141";"1.18886";"20";"91.1555";"10";"0.161983";"-0.354342";"1.07739";"10.3525";"0";"1591102721025"
"12";"35.6427";"-0.623124";"1.2072";"20";"90.888";"10";"0.0272564";"-0.0909797";"1.93451";"10.4675";"1";"1591102721950"
"13";"35.6427";"-0.623087";"1.5232";"20";"98.104";"10";"0.195752";"0.665588";"2.03986";"10.3334";"0";"1591102723029"
"14";"35.6427";"-0.62307";"1.60815";"20";"106.847";"10";"0.130292";"1.83875";"2.16436";"8.06367";"0";"1591102724038"
"15";"35.6427";"-0.623054";"1.77391";"20";"122.139";"10";"0.0697439";"-0.047884";"1.15401";"10.1658";"0";"1591102725002"
"16";"35.6427";"-0.623057";"1.48639";"20";"173.618";"10";"0.0242524";"-0.440533";"1.68073";"9.72525";"0";"1591102726034"
"17";"35.6426";"-0.623056";"2.03004";"20";"187.944";"10";"0.0432122";"0.632069";"1.28808";"8.50899";"0";"1591102727020"
"18";"35.6426";"-0.623067";"2.37477";"20";"191.824";"10";"0.115336";"0.215478";"0.981623";"10.4675";"0";"1591102729973"
"19";"35.6425";"-0.623073";"2.74728";"20";"192.754";"10";"0.226655";"-1.31681";"1.89621";"9.23204";"0";"1591102730940"
"20";"35.6425";"-0.623078";"2.9974";"20";"184.977";"10";"0.0407415";"-0.914585";"1.22583";"9.54329";"0";"1591102731938"
"21";"35.6424";"-0.62308";"3.03817";"20";"178.447";"10";"0.0811003";"-0.952892";"1.46046";"9.67736";"0";"1591102732943"
"22";"35.6424";"-0.623079";"3.12993";"20";"173.318";"10";"0.0796647";"-2.01592";"1.71425";"10.4962";"0";"1591102733962"
