"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"4288";"36.7247";"2.99027";"9.99057";"0.186011";"332.001";"0.0130621";"0.103131";"-1.04387";"0.837971";"10.5273";"0";"1598675327777"
"4289";"36.7248";"2.99022";"9.79233";"1.06019";"333.983";"0.0947727";"0.17315";"0.198719";"0.647632";"8.93396";"0";"1598675328781"
"4290";"36.7248";"2.99018";"9.26054";"0.382753";"340.996";"0.0262273";"0.15551";"1.72263";"2.95564";"9.02614";"0";"1598675329791"
"4291";"36.7249";"2.99016";"8.88714";"0.742024";"357.999";"0.0575874";"0.189997";"1.18393";"0.969652";"9.0836";"0";"1598675330793"
"4292";"36.725";"2.99017";"8.27363";"1.1439";"8.94866";"0.112398";"0.0421694";"-0.746991";"0.59855";"8.72567";"0";"1598675331913"
"4293";"36.7251";"2.99019";"7.51274";"1.09713";"13.9049";"0.123779";"0.119457";"-1.91656";"-0.409408";"8.88728";"0";"1598675332818"
"4294";"36.7251";"2.99021";"7.13682";"0.913017";"353.019";"0.0697445";"0.035601";"-3.6763";"-0.160412";"9.30267";"0";"1598675333789"
"4295";"36.7252";"2.99019";"8.24355";"0.85703";"326.234";"0.0664343";"0.0747098";"-4.05817";"0.0107739";"7.52737";"0";"1598675334775"
"4296";"36.7252";"2.99013";"7.75782";"1.46219";"323.173";"0.161081";"0.142633";"-4.61961";"0.955287";"8.3007";"0";"1598675335791"
"4297";"36.7253";"2.99006";"7.81964";"2.43906";"299.118";"0.286797";"0.180636";"-5.73531";"0.0454898";"8.57004";"0";"1598675336779"
"4298";"36.7253";"2.98995";"10.76";"0.87367";"243.127";"0.0766245";"0.300659";"-4.67468";"2.00754";"13.629";"0";"1598675337798"
"4299";"36.7252";"2.98984";"8.89179";"1.09809";"239.207";"0.111893";"0.699255";"-0.999579";"-0.269348";"10.8098";"0";"1598675338805"
"4300";"36.7251";"2.98977";"9.51104";"1.00305";"212.521";"0.0413515";"0.118254";"-2.29724";"1.40779";"7.38492";"0";"1598675339765"
"4301";"36.7251";"2.98972";"10.1811";"0.4998";"204.033";"0.0191685";"0.123998";"-1.57179";"2.3942";"8.42759";"0";"1598675340785"
"4302";"36.725";"2.98967";"10.2598";"0.219545";"203.001";"0.0126231";"0.156162";"1.07859";"1.72502";"13.2208";"0";"1598675341773"
"4303";"36.7249";"2.98962";"10.4702";"0.682642";"206.981";"0.0394611";"0.176516";"-3.12922";"2.15358";"6.72172";"0";"1598675342792"
"4304";"36.7248";"2.98956";"10.7397";"0.355106";"209.996";"0.0203694";"0.198936";"-0.047884";"1.80403";"7.5561";"0";"1598675343773"
"4305";"36.7247";"2.9895";"10.7414";"1.32382";"205.109";"0.102805";"0.129112";"1.09415";"3.44645";"4.75129";"0";"1598675344781"
"4306";"36.7246";"2.98944";"10.9912";"0.679412";"212.946";"0.0479503";"0.146814";"0.407014";"1.04267";"8.34379";"0";"1598675345793"
"4307";"36.7245";"2.98937";"11.3588";"0.283019";"210.005";"0.0149474";"0.213155";"-0.808043";"1.16478";"12.9359";"0";"1598675346789"
"4308";"36.7244";"2.9893";"10.8609";"0.252389";"210.997";"0.0154323";"0.232384";"-0.614113";"1.62566";"7.04614";"0";"1598675347785"
"4309";"36.7244";"2.98924";"10.9279";"1.10788";"211.004";"0.0860814";"0.170469";"-0.672771";"1.66517";"8.87291";"0";"1598675348823"
"4310";"36.7243";"2.98918";"10.5804";"0.333017";"208.003";"0.0233694";"0.324367";"-0.866701";"1.35153";"10.1837";"0";"1598675349769"
"4311";"36.7242";"2.98913";"10.076";"0.657647";"207.988";"0.0525233";"0.0900077";"1.17196";"1.55982";"6.86896";"0";"1598675350794"
"4312";"36.7241";"2.98908";"9.72861";"0.942019";"207.982";"0.0665827";"0.609295";"-3.15675";"0.368707";"11.9662";"0";"1598675351783"
"4313";"36.724";"2.98902";"9.78172";"1.00703";"209.971";"0.0630945";"0.149915";"0.164003";"0.574608";"9.56124";"0";"1598675352789"
"4314";"36.724";"2.98897";"10.674";"0.447772";"207.017";"0.0236004";"0.109571";"0.749385";"0.931344";"12.3672";"0";"1598675353765"
"4315";"36.7239";"2.98891";"10.7898";"0.376962";"207.999";"0.0151781";"0.249889";"0.702698";"0.331597";"8.84179";"0";"1598675354792"
"4316";"36.7238";"2.98885";"11.1881";"0.408534";"208.003";"0.0158697";"0.136975";"-0.314838";"1.96205";"7.93678";"0";"1598675355771"
"4317";"36.7237";"2.9888";"11.0901";"0.39";"207.001";"0.0156354";"0.189013";"0.416591";"0.837971";"10.1359";"0";"1598675356775"
"4318";"36.7236";"2.98874";"10.691";"0.27313";"207.997";"0.0123265";"0.110229";"0.0526724";"0.724246";"4.91171";"0";"1598675357799"
"4319";"36.7235";"2.98869";"10.402";"0.905538";"205.018";"0.0500306";"0.115226";"-1.09415";"2.4361";"7.90805";"0";"1598675358786"
"4320";"36.7234";"2.98864";"9.92014";"1.31229";"207.882";"0.0744821";"0.0712661";"-0.0011971";"1.05704";"11.7507";"0";"1598675359776"
"4321";"36.7233";"2.98858";"9.59148";"1.59765";"207.955";"0.103689";"0.0676724";"0.209493";"0.894234";"7.47709";"0";"1598675360865"
"4322";"36.7227";"2.99213";"0";"0";"0";"0";"0.0148961";"-1.51433";"5.22535";"8.92199";"0";"1598675478467"
"4323";"36.7227";"2.99213";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1598675489050"
"4324";"36.7156";"2.99319";"0";"0";"0";"0";"0.0258752";"0.401029";"6.46794";"7.76679";"0";"1598722822790"
"4325";"36.7158";"2.99295";"5.84415";"0.554437";"177.988";"0.0683913";"0.0527537";"-0.52433";"6.68581";"6.87375";"0";"1598722823010"
"4326";"36.7158";"2.99295";"5.8751";"0.961769";"177.998";"0.133793";"0.0244052";"-0.374693";"6.4404";"7.60877";"0";"1598722823279"
"4327";"36.7158";"2.99297";"7.11965";"1.32201";"163.939";"0.124136";"0.09046";"0.781707";"6.87495";"8.48625";"0";"1598722824297"
"4328";"36.7157";"2.99299";"7.75564";"0.651153";"177.996";"0.0647859";"0.291668";"-1.9812";"5.17387";"7.21253";"0";"1598722825298"
"4329";"36.7156";"2.993";"7.20369";"0.410366";"186.995";"0.0447231";"0.020336";"1.20309";"7.14909";"7.24964";"0";"1598722826289"
"4330";"36.7156";"2.99297";"6.88718";"1.22801";"186.943";"0.144613";"0.00682171";"0.768539";"6.80911";"5.30316";"0";"1598722826779"
"4331";"36.7155";"2.99297";"6.82537";"1.20221";"189.987";"0.14313";"0.0611582";"0.181959";"7.15747";"6.07409";"0";"1598722827787"
"4332";"36.7155";"2.99295";"6.61063";"1.14739";"192.972";"0.140203";"0.0735349";"1.83875";"6.22492";"6.73369";"0";"1598722828783"
"4333";"36.7154";"2.99294";"6.30065";"0.216333";"197.997";"0.0216769";"0.157393";"0.395043";"6.88453";"6.63553";"0";"1598722829776"
"4334";"36.7154";"2.99291";"5.6746";"0.780064";"206.89";"0.0924016";"0.0319073";"0.675165";"5.02423";"7.6399";"0";"1598722830783"
"4335";"36.7153";"2.99288";"4.05712";"0.408044";"204.969";"0.0675745";"0.0462455";"0.40462";"6.55772";"5.98191";"1";"1598722831812"
"4336";"36.7153";"2.99287";"3.20132";"1.05475";"208.567";"0.256272";"0.0167098";"1.60292";"6.58046";"5.84664";"0";"1598722832786"
"4337";"36.7153";"2.99285";"3.01893";"1.14634";"207.001";"0.267546";"0.0121605";"0.77213";"5.56532";"4.76805";"0";"1598722833814"
"4338";"36.7153";"2.99283";"4.10101";"1.09";"211.113";"0.16554";"0.00732421";"0.955287";"7.64349";"6.61638";"0";"1598722834825"
"4339";"36.7152";"2.9928";"4.90849";"1.78966";"210.308";"0.294228";"0.0419398";"1.01035";"2.85509";"9.15064";"0";"1598722835801"
"4340";"36.7152";"2.99277";"5.78608";"0.809197";"212.045";"0.102148";"0.0206555";"0.960075";"6.96354";"5.58088";"0";"1598722836794"
"4341";"36.7151";"2.99273";"5.46179";"1.23167";"211.962";"0.189187";"0.127282";"1.24259";"6.55293";"7.56448";"0";"1598722837780"
"4342";"36.7151";"2.99269";"6.3938";"1.54156";"213.096";"0.193762";"0.0357487";"0.168791";"6.58525";"6.43921";"0";"1598722838802"
"4343";"36.715";"2.99265";"6.32815";"0.696348";"207.033";"0.072247";"0.0171603";"0.633266";"6.46434";"7.54772";"0";"1598722839802"
"4344";"36.715";"2.99262";"5.75888";"1.11606";"206.935";"0.131419";"0.0141644";"-0.071826";"6.37456";"7.68658";"0";"1598722840784"
"4345";"36.7149";"2.99258";"6.04202";"0.823286";"203.043";"0.0990447";"0.0444354";"0.310049";"6.33266";"7.03177";"0";"1598722841781"
"4346";"36.7149";"2.99256";"5.67112";"0.392046";"199";"0.0491535";"0.00922744";"0.537498";"5.85382";"7.1419";"0";"1598722842799"
"4347";"36.7148";"2.99254";"5.74824";"1.08467";"199.999";"0.175751";"0.041665";"1.34674";"5.68862";"7.37414";"0";"1598722843808"
"4348";"36.7148";"2.99252";"5.10248";"1.20768";"192.969";"0.115641";"0.020109";"1.15161";"5.06733";"8.16902";"0";"1598722844782"
"4349";"36.7147";"2.99251";"4.6668";"0";"108.604";"0";"0.0375576";"0.711078";"6.6882";"6.59243";"1";"1598722845804"
"4350";"36.7147";"2.99254";"2.46937";"0";"214.152";"0";"0.0197105";"1.76333";"6.91206";"6.42005";"0";"1598722846830"
"4351";"36.7147";"2.99251";"2.48788";"0";"296.296";"0";"0.0257684";"1.05225";"5.36421";"7.54533";"0";"1598722847797"
"4352";"36.7147";"2.9925";"3.15223";"0";"291.63";"0";"0.0203535";"0.651223";"6.8139";"7.07846";"0";"1598722848791"
"4353";"36.7147";"2.99248";"3.16797";"0";"292.783";"0";"0.0207193";"-0.0526724";"6.10641";"7.14909";"0";"1598722849785"
"4354";"36.7147";"2.99247";"4.34295";"0";"267.987";"0";"0.00897777";"0.967257";"5.93642";"7.53216";"0";"1598722850370"
"4355";"36.7147";"2.99247";"5.77354";"0.933488";"181.054";"0.121193";"0.0116307";"0.263362";"6.17105";"7.05452";"0";"1598722850777"
"4356";"36.7146";"2.99248";"6.0099";"0.410366";"172.001";"0.0526934";"0.0292501";"0.471658";"6.41526";"7.00065";"0";"1598722851800"
"4357";"36.7145";"2.99249";"6.84937";"0.141421";"171.999";"0.0175759";"0.0224619";"0.317232";"6.66665";"5.87298";"0";"1598722852796"
"4358";"36.7144";"2.99251";"8.27762";"0.206155";"172.998";"0.0177326";"0.0615333";"0.371101";"6.74207";"5.10324";"0";"1598722853784"
"4359";"36.7143";"2.99252";"9.2079";"0.236008";"174.999";"0.017577";"0.0438597";"0.227449";"6.84622";"5.84784";"0";"1598722854790"
"4360";"36.7142";"2.99252";"8.6619";"0.294109";"174.001";"0.0231585";"0.0261473";"1.01394";"5.83706";"6.83664";"0";"1598722855782"
"4361";"36.7142";"2.99253";"8.62006";"0.186011";"174";"0.0152116";"0.0337603";"0.265756";"5.62757";"6.10402";"0";"1598722856785"
"4362";"36.7141";"2.99254";"9.59248";"0.8422";"174.986";"0.06717";"0.0799829";"0.93733";"6.93959";"8.64187";"0";"1598722857785"
"4363";"36.714";"2.99255";"9.78001";"1.18343";"174.995";"0.090931";"0.140978";"1.8986";"5.62518";"7.35259";"0";"1598722858800"
"4364";"36.7139";"2.99256";"9.98782";"0.60208";"172.999";"0.0368502";"0.00909649";"0.308852";"5.95199";"6.80672";"0";"1598722859783"
"4365";"36.7138";"2.99257";"10.0595";"0.327567";"176";"0.0194585";"0.0936398";"0.622492";"6.72292";"5.87298";"0";"1598722860776"
