"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1";"35.0709";"1.05625";"0.239346";"0";"50";"0";"0.115998";"-0.536";"3.39";"8.063";"0";"1598510266706"
"2";"35.0709";"1.05622";"0.141223";"0";"2.08303";"0";"0.0520906";"-2.604";"2.432";"9.931";"0";"1598510267663"
"3";"35.071";"1.05623";"0.114879";"0";"14.5071";"0";"0.0387019";"1.484";"6.656";"8.935";"0";"1598510268663"
"4";"35.071";"1.05623";"0.166346";"0";"319.558";"0";"0.246338";"2.288";"4.501";"11.253";"0";"1598510269693"
"5";"35.071";"1.0562";"0.00641574";"0";"277.64";"0";"0.00826913";"3.993";"1.043";"4.644";"0";"1598510270683"
"6";"35.0709";"1.05619";"0.0053583";"0";"201.261";"0";"0.16391";"4.166";"-3.026";"9.308";"0";"1598510271639"
"7";"35.0709";"1.05618";"0.00810778";"0";"188.657";"0";"0.339882";"3.601";"4.97";"2.681";"0";"1598510272680"
"8";"35.0708";"1.05616";"0.0108437";"0";"186.974";"0";"0.137305";"4.472";"4.999";"6.138";"0";"1598510273666"
"9";"35.0708";"1.05616";"0.0074913";"0";"186.93";"0";"0.0554936";"4.118";"5.564";"9.902";"0";"1598510274699"
"10";"35.0708";"1.05615";"0.00558985";"0";"190.48";"0";"0.130085";"0.067";"6.742";"5.736";"0";"1598510275659"
"11";"35.0708";"1.05614";"0.00426836";"0";"194.202";"0";"0.155797";"-0.143";"5.631";"8.6";"0";"1598510276678"
"12";"35.0708";"1.05613";"0.00410213";"0";"196.599";"0";"0.0537641";"-1.312";"4.644";"8.705";"0";"1598510277687"
"13";"35.0707";"1.05613";"0.00450164";"0";"188.281";"0";"0.0908967";"-5.162";"5.382";"7.814";"0";"1598510278699"
"14";"35.0707";"1.05612";"0.00697826";"0";"189.44";"0";"0.0196215";"-5.43";"5.487";"7.134";"0";"1598510279689"
"15";"35.0707";"1.05611";"0.00733741";"0";"187.679";"0";"0.0596123";"-5.181";"4.941";"7.537";"0";"1598510280700"
"16";"35.0707";"1.05611";"0.00619604";"0";"180.162";"0";"0.00889611";"-5.008";"5.19";"7.632";"0";"1598510281680"
"17";"35.0706";"1.05612";"0.00500804";"0";"176.049";"0";"0.009575";"-5.018";"5.391";"7.565";"0";"1598510282689"
"18";"35.0706";"1.05612";"0.000246366";"0";"176.482";"0";"0";"-4.721";"5.382";"7.786";"0";"1598510283701"
"19";"35.0706";"1.05612";"3.79905e-05";"0";"174.774";"0";"0.0127497";"-5.085";"5.497";"7.642";"0";"1598510284690"
"20";"35.0706";"1.05612";"3.62555e-05";"0";"173.333";"0";"0.00741593";"-5.123";"5.257";"7.23";"0";"1598510285680"
"21";"35.0706";"1.05612";"4.36664e-05";"0";"172.845";"0";"0.0146952";"-5.497";"5.229";"6.866";"0";"1598510286687"
"22";"35.0706";"1.05613";"0.00505002";"0";"171.52";"0";"0.0207401";"-5.928";"5.593";"7.345";"0";"1598510287701"
"23";"35.0706";"1.05613";"0.622832";"0";"241.978";"0";"0.033301";"-5.88";"5.458";"6.771";"0";"1598510288687"
"24";"35.0706";"1.05614";"0.0317869";"0";"258.959";"0";"0.0391094";"-5.133";"5.813";"7.881";"0";"1598510289682"
"25";"35.0706";"1.05614";"0.000866797";"0";"135.944";"0";"0.0118335";"-4.788";"5.468";"7.527";"0";"1598510290699"
"26";"35.0705";"1.05615";"0.00145991";"0";"108.521";"0";"0.00322943";"-5.085";"5.631";"7.374";"0";"1598510291686"
"27";"35.0705";"1.05615";"0.00187785";"0";"105.971";"0";"0.00335571";"-4.951";"5.688";"7.211";"0";"1598510292705"
"28";"35.0705";"1.05615";"0.000148117";"0";"95.1773";"0";"0.00651822";"-4.855";"5.66";"7.336";"0";"1598510293686"
"29";"35.0705";"1.05615";"5.17594e-05";"0";"95.3653";"0";"0.0164513";"-4.932";"5.746";"7.173";"0";"1598510294694"
"30";"35.0705";"1.05615";"6.39778e-05";"0";"95.5438";"0";"0.00821997";"-4.951";"5.688";"7.278";"0";"1598510295704"
"31";"35.0705";"1.05615";"8.23034e-05";"0";"95.4399";"0";"0.0166154";"-4.826";"5.602";"7.269";"0";"1598510296670"
"32";"35.0705";"1.05615";"9.40617e-05";"0";"95.6802";"0";"0.343701";"-0.498";"4.644";"9.672";"0";"1598510297723"
"33";"35.0705";"1.05615";"0.570473";"0";"130.312";"0";"0.0300043";"-0.469";"4.98";"8.935";"0";"1598510298701"
"34";"35.0705";"1.05616";"0.0262703";"0";"121.584";"0";"0.134562";"-0.239";"5.602";"8.063";"0";"1598510299688"
"35";"35.0705";"1.05616";"0.461911";"0";"200.084";"0";"0.0327441";"0.9";"6.1";"8.083";"0";"1598510300691"
"36";"35.0705";"1.05616";"0.470164";"0";"189.131";"0";"0.00716127";"0.66";"5.928";"8.178";"0";"1598510301664"
"37";"35.0705";"1.05616";"0.42499";"0";"197.704";"0";"0";"0.967";"6.215";"8.255";"0";"1598510302693"
"38";"35.0705";"1.05616";"0.0325994";"0";"180.651";"0";"0.00430464";"1.455";"6.531";"7.7";"0";"1598510303728"
"39";"35.0705";"1.05616";"0.00223643";"0";"180.178";"0";"0.0678764";"2.873";"7.058";"7.01";"0";"1598510304682"
"40";"35.0705";"1.05616";"0.000211671";"0";"177.105";"0";"0.0351404";"1.647";"6.646";"7.872";"0";"1598510305700"
"41";"35.0705";"1.05616";"7.66626e-06";"0";"72.0629";"0";"0.0208903";"1.714";"6.608";"7.747";"0";"1598510306687"
"42";"35.0705";"1.05616";"8.96874e-05";"0";"2.47272";"0";"0.00899548";"1.647";"6.636";"7.604";"0";"1598510307688"
"43";"35.0705";"1.05616";"0.00015929";"0";"0.216064";"0";"0.00203943";"1.561";"6.627";"7.585";"0";"1598510308685"
"44";"35.0705";"1.05616";"0.000202321";"0";"359.558";"0";"0.0248211";"1.513";"6.78";"7.556";"0";"1598510309693"
"45";"35.0686";"1.0498";"0";"0";"330";"0";"0.0208449";"1.494";"6.579";"7.671";"0";"1598510310690"
"46";"35.0686";"1.04981";"0.000183474";"0";"48.5875";"0";"0.00888734";"1.455";"6.656";"7.594";"0";"1598510311682"
"47";"35.0686";"1.04981";"0.000332261";"0";"161.426";"0";"0.00482941";"1.292";"6.675";"7.508";"0";"1598510312654"
"48";"35.0687";"1.04982";"0.00171041";"0";"8.1781";"0";"0.00144213";"1.302";"6.742";"7.546";"0";"1598510313716"
"49";"35.0687";"1.04982";"0.630067";"0";"70.8709";"0";"0.00979405";"1.34";"6.684";"7.623";"0";"1598510314688"
"50";"35.0687";"1.04983";"0.659022";"0";"80.8142";"0";"0.0114948";"1.149";"6.665";"7.575";"0";"1598510315707"
"51";"35.0687";"1.04983";"0.0512058";"0";"89.716";"0";"0.0111508";"1.139";"6.694";"7.604";"0";"1598510316676"
"52";"35.0687";"1.04984";"0.00493591";"0";"89.9666";"0";"0.0111042";"1.359";"6.723";"7.709";"0";"1598510317692"
"53";"35.0687";"1.04983";"0.000226936";"0";"270.193";"0";"0.0207662";"1.628";"7.604";"6.292";"0";"1598510318715"
"54";"35.0687";"1.04983";"0.530439";"0";"148.944";"0";"0.0108037";"1.934";"8.332";"5.545";"0";"1598510319704"
"55";"35.0687";"1.04984";"0.456011";"0";"121.081";"0";"0.0133182";"2.183";"8.37";"5.545";"0";"1598510320682"
"56";"35.0687";"1.04984";"0.0241316";"0";"102.858";"0";"0.0327265";"2.365";"8.619";"5.458";"0";"1598510321674"
"57";"35.0687";"1.04983";"0.00135076";"0";"264.427";"0";"0.00816161";"2.355";"8.715";"4.96";"0";"1598510322696"
"58";"35.0687";"1.04983";"0.000933405";"0";"279.056";"0";"0.00801047";"2.365";"8.724";"4.884";"0";"1598510323738"
"59";"35.0687";"1.04983";"0.000503995";"0";"279.682";"0";"0.0267927";"2.499";"8.82";"5.085";"0";"1598510324700"
"60";"35.0687";"1.04983";"0.000266931";"0";"280.015";"0";"0.0112719";"2.384";"8.82";"4.932";"0";"1598510325722"
"61";"35.0687";"1.04983";"0.00014099";"0";"280.36";"0";"0.00698261";"2.394";"8.82";"4.855";"0";"1598510326692"
"62";"35.0687";"1.04983";"7.3037e-05";"0";"280.712";"0";"0.0124539";"2.413";"8.743";"4.874";"0";"1598510327705"
"63";"35.0687";"1.04983";"3.86729e-05";"0";"281.097";"0";"0.0112188";"2.212";"8.734";"4.989";"0";"1598510328699"
"64";"35.0687";"1.04983";"2.03392e-05";"0";"281.481";"0";"0.0124021";"2.087";"8.715";"4.941";"0";"1598510329694"
"65";"35.0687";"1.04983";"1.10153e-05";"0";"281.888";"0";"0.0237314";"2.394";"8.772";"4.97";"0";"1598510330667"
"66";"35.0687";"1.04983";"5.55534e-06";"0";"282.259";"0";"0.0207629";"2.097";"8.676";"4.874";"0";"1598510331679"
"67";"35.0687";"1.04983";"2.9275e-06";"0";"282.709";"0";"0.0217085";"1.867";"8.514";"5.487";"0";"1598510332705"
"68";"35.0687";"1.04983";"1.55201e-06";"0";"283.158";"0";"0.0127497";"1.848";"8.475";"5.382";"0";"1598510333712"
"69";"35.0687";"1.04983";"8.17791e-07";"0";"283.61";"0";"0.0121187";"1.944";"8.629";"5.315";"0";"1598510334693"
"70";"35.0687";"1.04983";"4.31166e-07";"0";"284.078";"0";"0.010391";"1.781";"8.475";"5.401";"0";"1598510335697"
"71";"35.0687";"1.04983";"2.331e-07";"0";"284.566";"0";"0.0356269";"1.474";"8.514";"5.353";"0";"1598510336656"
"72";"35.0687";"1.04983";"1.1687e-07";"0";"285.015";"0";"0.0128278";"1.848";"8.542";"5.334";"0";"1598510337693"
"73";"35.0687";"1.04983";"6.24549e-08";"0";"285.57";"0";"0.00273999";"1.848";"8.561";"5.286";"0";"1598510338699"
"74";"35.0687";"1.04983";"3.29302e-08";"0";"286.096";"0";"0.0102956";"1.819";"8.561";"5.382";"0";"1598510339703"
"75";"35.0687";"1.04983";"1.79784e-08";"0";"286.655";"0";"0.0245197";"1.8";"8.523";"5.2";"0";"1598510340648"
"76";"35.0687";"1.04983";"8.9853e-09";"0";"287.151";"0";"0.00482941";"1.886";"8.552";"5.286";"0";"1598510341727"
"77";"35.0687";"1.04983";"4.90705e-09";"0";"287.783";"0";"0.0137401";"0.67";"8.159";"6.378";"0";"1598510342677"
"78";"35.0687";"1.04983";"2.55922e-09";"0";"288.337";"0";"0.00821995";"1.35";"8.542";"5.468";"0";"1598510343669"
"79";"35.0687";"1.04983";"1.30168e-09";"0";"288.937";"0";"0.166555";"1.206";"7.68";"4.922";"0";"1598510344700"
"80";"35.0687";"1.04983";"7.04634e-10";"0";"289.623";"0";"0.0310665";"2.451";"8.734";"5.717";"0";"1598510345703"
"81";"35.0687";"1.04983";"3.71911e-10";"0";"290.255";"0";"0.0233109";"2.691";"8.255";"5.554";"0";"1598510346702"
"82";"35.0687";"1.04983";"1.96167e-10";"0";"290.917";"0";"0.00918764";"0.689";"8.351";"5.698";"0";"1598510347694"
"83";"35.0687";"1.04983";"1.02997e-10";"0";"291.595";"0";"0.0294787";"1.101";"8.581";"5.516";"0";"1598510348693"
"84";"35.0687";"1.04983";"5.48154e-11";"0";"292.303";"0";"0.101744";"-0.861";"7.01";"5.095";"0";"1598510349708"
"85";"35.0687";"1.04988";"0.00452083";"0";"100.659";"0";"0.0406226";"-1.235";"7.307";"6.378";"0";"1598510350702"
"86";"35.0687";"1.04991";"0.00157389";"0";"157.267";"0";"0.0603302";"-1.398";"6.349";"4.846";"0";"1598510351686"
"87";"35.0687";"1.04993";"0.0004655";"0";"131.934";"0";"0.0125524";"1.79";"7.163";"7.69";"0";"1598510352695"
"88";"35.0687";"1.04994";"0.000246669";"0";"122.785";"0";"0.0549182";"5.047";"6.627";"12.325";"0";"1598510353690"
"89";"35.0687";"1.04994";"0.000131055";"0";"120.664";"0";"0.139655";"2.384";"4.52";"6.608";"0";"1598510354705"
"90";"35.0687";"1.04995";"7.14114e-05";"0";"119.276";"0";"0.0797374";"4.865";"5.037";"5.229";"0";"1598510355703"
"91";"35.0687";"1.04995";"5.16087e-05";"0";"110.247";"0";"0.0279011";"6.675";"3.189";"7.776";"0";"1598510356706"
"92";"35.0687";"1.04995";"3.54239e-05";"0";"103.906";"0";"0.0370999";"5.755";"2.576";"7.087";"0";"1598510357649"
"93";"35.0687";"1.04995";"1.89289e-05";"0";"103.043";"0";"0.186918";"6.071";"5.382";"3.782";"0";"1598510358703"
"94";"35.0687";"1.04995";"9.65656e-06";"0";"102.58";"0";"0.0526704";"6.378";"5.229";"6.512";"0";"1598510359661"
"95";"35.0687";"1.04995";"5.5346e-06";"0";"101.904";"0";"0.0171394";"2.997";"4.099";"6.828";"0";"1598510360695"
"96";"35.0687";"1.04995";"2.86774e-06";"0";"101.541";"0";"0.0573935";"1.972";"5.976";"8.59";"0";"1598510361660"
