"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1";"36.7796";"3.04708";"4.58";"1.29495";"22";"15.8442";"0.0146938";"1.45676";"8.47383";"5.02519";"1";"1598372266812"
"2";"36.7797";"3.04709";"4.15";"1.19708";"21";"16.027";"0.115248";"-0.248383";"8.464";"4.65601";"0";"1598372267694"
"3";"36.7797";"3.04708";"3.53";"1.18849";"24";"18.6616";"0.0887889";"-1.58627";"7.17067";"7.97342";"0";"1598372268707"
"4";"36.7798";"3.04707";"3.73";"1.36953";"24";"20.5658";"0.0966837";"2.56335";"5.76001";"7.92937";"0";"1598372269708"
"5";"36.7798";"3.0471";"4.45";"1.31126";"26";"16.6346";"0.210566";"0.691574";"4.72212";"8.5497";"0";"1598372270728"
"6";"36.7798";"3.04714";"4.8";"1.49833";"45";"18.1057";"0.0828918";"0.438507";"6.47252";"7.14766";"0";"1598372271712"
"7";"36.7798";"3.04721";"5.73";"1.40004";"59";"13.9918";"0.0618365";"0.394211";"7.01791";"6.77487";"0";"1598372272703"
"8";"36.7799";"3.04728";"6.64";"1.39187";"74";"11.9306";"0.0769785";"-0.509842";"6.09854";"6.56825";"0";"1598372273694"
"9";"36.7799";"3.04736";"6.46";"1.37058";"85";"11.9764";"0.0576343";"0.80722";"6.81393";"7.78571";"0";"1598372274688"
"10";"36.7799";"3.04744";"7.28";"1.29321";"88";"8.68987";"0.102545";"2.82002";"4.83368";"8.66725";"0";"1598372275721"
"11";"36.7799";"3.04753";"7.44";"1.48946";"85";"11.4937";"0.055732";"3.61584";"6.19695";"7.15317";"0";"1598372276728"
"12";"36.7799";"3.04762";"8.14";"1.50266";"80";"10.7188";"0.285802";"6.543";"4.27991";"8.32368";"0";"1598372277686"
"13";"36.7799";"3.04771";"8.21";"1.80693";"78";"13.2133";"0.124295";"-1.44118";"-0.155594";"10.2039";"0";"1598372278739"
"14";"36.78";"3.04777";"8.73";"1.15434";"55";"6.05362";"0.404912";"-1.1091";"5.46982";"2.9341";"0";"1598372279705"
"15";"36.78";"3.04784";"9.47";"1.19269";"51";"5.77507";"0.136077";"-2.77571";"7.98445";"5.62854";"0";"1598372280694"
"16";"36.7801";"3.04791";"9.79";"1.36565";"48";"7.07638";"0.232577";"0.976486";"10.0281";"2.24002";"0";"1598372281690"
"17";"36.7801";"3.04799";"9.73";"1.80693";"48";"11.1485";"0.197818";"0.319031";"8.76591";"5.19398";"0";"1598372282706"
"18";"36.7802";"3.04807";"10.59";"1.40545";"42";"6.76707";"0.0624471";"0.118881";"8.1068";"4.95097";"0";"1598372283699"
"19";"36.7803";"3.04814";"11.06";"1.2657";"41";"5.40032";"0.0372251";"0.252716";"8.32635";"4.16496";"0";"1598372284692"
"20";"36.7804";"3.04821";"11.86";"1.25539";"39";"4.94664";"0.17703";"0.402359";"9.41762";"5.37427";"0";"1598372285703"
"21";"36.7805";"3.0483";"12.82";"1.4359";"40";"5.77695";"0.0386661";"0.384155";"8.10104";"4.58539";"0";"1598372286698"
"22";"36.7806";"3.04839";"13.37";"1.45362";"38";"5.51004";"0.0475411";"-1.75435";"8.37878";"4.86717";"0";"1598372287716"
"23";"36.7807";"3.04846";"13.86";"1.23175";"30";"3.96742";"0.0326144";"-1.88483";"7.79962";"4.66438";"0";"1598372288701"
"24";"36.7808";"3.04851";"14.55";"1.4803";"23";"4.42356";"0.0973371";"-1.74213";"8.25859";"4.81306";"0";"1598372289705"
"25";"36.7809";"3.04855";"14.97";"1.38311";"17";"4.03775";"0.125507";"-0.284302";"8.44653";"4.72113";"0";"1598372290693"
"26";"36.7811";"3.04861";"16.13";"1.47597";"12";"4.02145";"0.198434";"-0.755249";"8.57152";"6.36284";"0";"1598372291690"
"27";"36.7812";"3.04864";"15";"1.28129";"10";"3.827";"0.124107";"-0.398743";"6.94585";"6.64464";"0";"1598372292750"
"28";"36.7813";"3.04866";"14.22";"1.04202";"8";"3.78587";"0.117416";"0.40834";"8.61819";"7.106";"0";"1598372293717"
"29";"36.7815";"3.04869";"12.01";"1.02396";"9";"3.82788";"0.015551";"0.0568695";"7.60904";"5.87514";"0";"1598372294725"
"30";"36.7816";"3.04872";"11.18";"1.16211";"11";"4.63696";"0.0378963";"-0.13562";"7.93321";"6.83809";"0";"1598372295685"
"31";"36.7816";"3.04874";"10.51";"1.23309";"8";"4.98015";"0.0385113";"-0.57663";"7.90448";"6.25653";"0";"1598372296715"
"32";"36.7817";"3.04876";"10.16";"1.38311";"9";"5.65408";"0.0397076";"0.128693";"8.36417";"4.7513";"0";"1598372297703"
"33";"36.7818";"3.04878";"9.95";"1.66018";"9";"8.15008";"0.00408059";"-0.137299";"8.4099";"4.80038";"0";"1598372298716"
"34";"36.7819";"3.04881";"10.81";"1.0102";"10";"4.2485";"0.0895021";"-0.313278";"8.70847";"5.00436";"0";"1598372299713"
"35";"36.782";"3.04882";"11.53";"1.14285";"11";"4.47929";"0.0218554";"-0.0707397";"8.63112";"4.92632";"0";"1598372300703"
"36";"36.7821";"3.04885";"12.33";"1.33462";"10";"4.4855";"0.0987831";"-0.229477";"8.21239";"4.70102";"0";"1598372301707"
"37";"36.7822";"3.04887";"12.7";"1.31126";"8";"4.94838";"0.0503834";"-0.690353";"8.70583";"4.96199";"0";"1598372302700"
"38";"36.7823";"3.0489";"13.37";"1.0707";"9";"3.61506";"0.0244315";"0.0144958";"8.56505";"4.9153";"0";"1598372303747"
"39";"36.7824";"3.04893";"13.64";"1.07615";"8";"3.5687";"0.0958232";"-0.00944519";"7.39236";"5.68408";"0";"1598372304723"
"40";"36.7826";"3.04895";"14.15";"1.25196";"8";"3.7058";"0.03868";"-0.138733";"7.94112";"6.23546";"0";"1598372305717"
"41";"36.7827";"3.04896";"12.56";"1.09836";"6";"3.77729";"0.00888522";"-0.36882";"7.92795";"6.3389";"0";"1598372306711"
"42";"36.7828";"3.04897";"12.47";"1.36077";"4";"5.22952";"0.142594";"-1.43974";"8.17455";"4.51236";"0";"1598372307713"
"43";"36.7829";"3.04896";"13.05";"1.57918";"0";"5.87";"0.080297";"-2.12018";"8.48843";"4.88824";"0";"1598372308702"
"44";"36.783";"3.04894";"13.89";"1.57442";"350";"4.99441";"0.0109914";"-2.07158";"8.08476";"4.74413";"0";"1598372309695"
"45";"36.7831";"3.04886";"14.28";"1.23309";"339";"3.78735";"0.0451675";"-1.05643";"8.05437";"4.63159";"0";"1598372310700"
"46";"36.7833";"3.04879";"14.8";"1.58824";"336";"5.08492";"0.0853097";"-0.791397";"8.56792";"4.9019";"0";"1598372311713"
"47";"36.7834";"3.0487";"15.44";"1.78463";"332";"5.55817";"0.0315913";"-0.00968933";"8.8763";"5.06662";"0";"1598372312699"
"48";"36.7835";"3.04863";"16.26";"1.27769";"334";"3.48821";"0.232965";"1.03897";"7.80417";"6.16747";"0";"1598372313759"
"49";"36.7837";"3.04855";"15.49";"1.44475";"336";"3.6259";"0.148322";"0.734909";"7.70529";"6.95421";"0";"1598372314700"
"50";"36.7838";"3.04849";"13.96";"1.49375";"338";"4.01795";"0.0903375";"0.398758";"7.22668";"6.79738";"0";"1598372315705"
"51";"36.7839";"3.04845";"11.15";"1.33959";"341";"5.01726";"0.0773826";"-0.0649872";"8.47862";"4.62561";"0";"1598372316716"
"52";"36.7839";"3.04842";"10.7";"1.33959";"340";"5.24719";"0.0125365";"0.231171";"8.21884";"4.55545";"0";"1598372317738"
"53";"36.784";"3.04838";"10.74";"1.71493";"340";"7.04373";"0.0139352";"0.724136";"8.71805";"4.85832";"0";"1598372318682"
"54";"36.7841";"3.04837";"10.34";"1.54742";"345";"5.44839";"0.0311589";"0.51561";"8.38596";"5.48441";"0";"1598372319691"
"55";"36.7842";"3.04836";"10.18";"1.35695";"349";"5.3683";"0.0177914";"0.0154419";"7.94183";"6.22278";"0";"1598372320724"
"56";"36.7843";"3.04835";"8.01";"1.20569";"349";"6.73086";"0.0334237";"-0.113602";"8.52386";"4.23894";"0";"1598372321729"
"57";"36.7843";"3.04834";"7.98";"1.19954";"352";"6.62729";"0.0582094";"0.35112";"8.35341";"4.63614";"0";"1598372322737"
"58";"36.7844";"3.04834";"7.92";"1.36854";"355";"6.98044";"0.0912274";"0.749512";"8.52818";"4.65529";"0";"1598372323715"
"59";"36.7845";"3.04833";"8.59";"1.33724";"357";"8.09983";"0.0145628";"0.77034";"8.72618";"4.87077";"0";"1598372324697"
"60";"36.7845";"3.04835";"9.02";"1.17661";"6";"6.02928";"0.0184578";"0.614243";"8.60791";"4.75034";"0";"1598372325725"
"61";"36.7846";"3.04837";"9.17";"1.22332";"10";"6.1743";"0.00538051";"0.50267";"8.41757";"4.6754";"0";"1598372326700"
"62";"36.7847";"3.0484";"9.27";"1.22332";"12";"6.07353";"0.00744398";"0.220398";"7.88869";"5.24809";"0";"1598372327740"
"63";"36.7848";"3.04842";"9.13";"1.17137";"12";"5.88632";"0.0438127";"-0.554367";"8.10991";"5.33716";"0";"1598372328727"
"64";"36.7849";"3.04844";"9.19";"1.17137";"9";"5.84388";"0.0175672";"-0.913254";"8.28804";"4.80827";"0";"1598372329711"
"65";"36.785";"3.04845";"9.58";"1.22299";"4";"6.10381";"0.0364102";"-0.437775";"8.24135";"5.48393";"0";"1598372330822"
"66";"36.7851";"3.04844";"9.73";"1.44003";"0";"7.17372";"0.034631";"-0.437302";"8.09506";"5.94098";"0";"1598372331678"
"67";"36.7851";"3.04844";"9.64";"1.51169";"358";"7.51999";"0.090429";"-0.0518188";"8.12643";"5.98145";"0";"1598372332695"
