"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"5812";"36.6783";"3.04116";"1.81037";"0.483011";"153.164";"0";"0.0064455";"1.04267";"4.13957";"8.18218";"0";"1598724313228"
"5813";"36.6783";"3.04116";"0.432027";"-1";"146.641";"0";"0.00871756";"1.31801";"4.24253";"8.32224";"0";"1598724313805"
"5814";"36.6783";"3.04115";"0.0858437";"0.295466";"20.763";"0";"0.00345482";"1.5263";"4.47237";"7.94995";"0";"1598724314841"
"5815";"36.6783";"3.04115";"0.160038";"-1";"356.935";"0";"0.00853709";"1.21625";"4.92248";"8.06487";"0";"1598724314978"
"5816";"36.6783";"3.04115";"0.215126";"0.366197";"340.878";"0";"0.0108821";"1.31202";"3.9636";"8.29471";"0";"1598724315813"
"5817";"36.6783";"3.04115";"0.146667";"0.214009";"323.898";"0";"0.0996405";"-0.785298";"3.41174";"9.88566";"0";"1598724316789"
"5818";"36.6783";"3.04115";"0.254241";"1.16469";"149.84";"1.08538";"0.0102547";"-1.68073";"2.07218";"9.24282";"0";"1598724317828"
"5819";"36.6783";"3.04115";"0.238533";"0.0860233";"148.49";"0";"0.00309057";"-3.94804";"2.6851";"7.79432";"0";"1598724318789"
"5820";"36.6783";"3.04115";"0.347124";"-1";"150.842";"-1";"0.00574382";"-4.90931";"2.79044";"7.93079";"0";"1598724319792"
"5821";"36.6783";"3.04115";"0.215082";"1.2468";"151.466";"1.1166";"0.0715296";"-4.29639";"2.32118";"7.28316";"0";"1598724320789"
"5822";"36.6783";"3.04115";"0.214897";"-1";"151.51";"-1";"0.0169577";"-4.58131";"2.38582";"8.02776";"0";"1598724321008"
"5823";"36.6783";"3.04115";"0.239151";"0.0860233";"157.309";"0";"0.0163788";"-3.80798";"4.11683";"8.40724";"0";"1598724321804"
"5824";"36.6783";"3.04115";"0.465713";"1.31727";"151.443";"1.15204";"0.0565937";"-6.93241";"-2.77608";"8.57364";"0";"1598724322796"
"5825";"36.6783";"3.04114";"0.462488";"1.70578";"151.037";"1.28852";"0.0358868";"-5.52103";"-8.26239";"1.45927";"0";"1598724323803"
"5826";"36.6783";"3.04114";"1.07131";"-1";"296.609";"-1";"0.0515302";"-8.41442";"-6.43681";"4.22936";"0";"1598724324809"
"5827";"36.6783";"3.04112";"0.0292952";"1.2657";"50.8347";"1.27211";"0.00697721";"-5.91368";"-6.71574";"1.53708";"0";"1598724325793"
"5828";"36.6783";"3.04112";"0.0285562";"-1";"49.5433";"-1";"0.0308766";"-6.59243";"-6.05134";"3.63799";"0";"1598724325988"
"5829";"36.6783";"3.04111";"0.788687";"1.2402";"207.039";"1.05067";"0.0717511";"-7.18859";"-10.659";"7.46273";"0";"1598724326808"
"5830";"36.6783";"3.04111";"1.01661";"1.63132";"80.1355";"0.456828";"0.0703592";"-13.0867";"5.45279";"4.66989";"0";"1598724327814"
"5831";"36.6783";"3.04114";"2.24355";"1.61617";"75.7765";"0.592504";"0.0268971";"-1.29646";"-0.262165";"11.6274";"0";"1598724328809"
"5832";"36.6783";"3.04116";"1.44362";"1.57207";"44.2103";"0.743717";"0.0280563";"1.46765";"2.69108";"9.50498";"0";"1598724329794"
"5833";"36.6783";"3.04116";"1.83715";"0.678012";"333.536";"0.182311";"0.019174";"0.841562";"2.31878";"6.32428";"0";"1598724330842"
"5834";"36.6783";"3.04116";"1.83794";"-1";"333.54";"-1";"0.0251527";"3.37343";"2.77847";"10.7895";"0";"1598724331070"
"5835";"36.6783";"3.04115";"1.14691";"0.896437";"324.06";"0.312748";"0.0790723";"3.21422";"-0.0921768";"7.58842";"0";"1598724331821"
"5836";"36.6783";"3.04114";"0.609565";"0.572014";"323.908";"0.27044";"0.0432582";"4.1707";"-0.219069";"8.37013";"0";"1598724332797"
"5837";"36.6784";"3.04114";"0.35618";"0.962601";"324.26";"0.310395";"0.0689787";"8.18817";"0.675165";"8.31985";"0";"1598724333798"
"5838";"36.6784";"3.04114";"0.407237";"0.843149";"236.458";"0.111732";"0.0263762";"2.84551";"5.78918";"7.71891";"0";"1598724334813"
"5839";"36.6783";"3.04114";"0.298953";"0.995691";"215.838";"0.206517";"0.16603";"3.24295";"2.26731";"8.38689";"0";"1598724335814"
"5840";"36.6783";"3.04114";"0.299162";"-1";"215.657";"-1";"0.0146199";"1.56222";"4.51307";"10.2125";"0";"1598724336007"
