"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1";"35.7025";"-0.595701";"0";"0";"0";"0";"0.0186444";"1.96564";"2.33674";"9.43555";"0";"1598432707395"
"2";"35.7018";"-0.596251";"0.00221165";"0";"263.752";"0";"0.0119255";"1.07739";"3.07894";"9.53371";"0";"1598432716326"
"3";"35.7019";"-0.596067";"4.22935";"0";"77.6588";"0";"0.0450319";"1.65918";"3.29921";"10.4387";"0";"1598432743334"
"4";"35.7019";"-0.59552";"10.2406";"0";"90.4023";"0";"0.0687775";"1.52271";"3.27527";"10.2185";"0";"1598432744293"
"5";"35.7019";"-0.595245";"8.38948";"0";"91.2052";"0";"0.295505";"1.18513";"1.95127";"8.76038";"0";"1598432745288"
"6";"35.7019";"-0.595004";"8.31371";"0";"96.7984";"0";"0.0853473";"1.41497";"2.83952";"8.43956";"0";"1598432746303"
"7";"35.7019";"-0.594859";"8.40704";"0";"101.046";"0";"0.0675776";"2.21224";"4.27365";"11.3964";"0";"1598432747519"
"8";"35.7019";"-0.594673";"7.99948";"0";"103.786";"0";"0.0671347";"-1.16837";"3.31358";"8.14268";"0";"1598432749001"
"9";"35.7019";"-0.594547";"7.87685";"0";"103.499";"0";"0.0630484";"1.24738";"2.56658";"9.47864";"0";"1598432749997"
"10";"35.7019";"-0.594424";"8.08071";"0";"101.007";"0";"0.0915752";"1.48441";"2.81798";"9.15543";"0";"1598432750984"
"11";"35.7019";"-0.594296";"8.29263";"0";"97.1728";"0";"0.0894421";"1.33596";"2.94726";"10.1634";"0";"1598432751991"
"12";"35.7019";"-0.594172";"8.97492";"0";"94.0084";"0";"0.066779";"0.814029";"2.02789";"8.2169";"0";"1598432752997"
"13";"35.7019";"-0.594044";"9.01787";"0";"91.0763";"0";"0.00427072";"1.30245";"1.86029";"8.76517";"0";"1598432754001"
"14";"35.7019";"-0.593929";"8.90942";"0";"87.5006";"0";"0.016874";"0.842759";"2.3128";"9.99579";"0";"1598432754984"
"15";"35.7019";"-0.59381";"8.35583";"0";"83.264";"0";"0.0112358";"0.320823";"2.91614";"8.74602";"0";"1598432755987"
"16";"35.7019";"-0.59371";"7.13248";"0";"80.3819";"0";"0.0657015";"0.296881";"3.07655";"8.588";"0";"1598432756958"
"17";"35.702";"-0.593612";"6.13757";"0";"80.1524";"0";"0.0824845";"0.744597";"3.22978";"8.3821";"0";"1598432757987"
"18";"35.702";"-0.593534";"5.6076";"0";"81.6954";"0";"0.041144";"0.392649";"3.25611";"7.99185";"0";"1598432759012"
"19";"35.702";"-0.593461";"5.38103";"0";"83.8";"0";"0.128027";"1.33596";"5.73172";"13.5895";"0";"1598432759999"
"20";"35.702";"-0.593395";"5.49206";"0";"87.9946";"0";"0.0577009";"-0.237026";"3.39019";"8.62152";"0";"1598432761001"
"21";"35.702";"-0.593326";"5.95538";"0";"90.6494";"0";"0.0377606";"1.31921";"3.82833";"9.58638";"0";"1598432761985"
"22";"35.702";"-0.593249";"6.67635";"0";"91.4615";"0";"0.0607621";"1.40779";"4.2114";"9.94312";"0";"1598432763011"
"23";"35.702";"-0.593163";"7.27722";"0";"90.0164";"0";"0.0538816";"0.105345";"3.74214";"8.24084";"0";"1598432763983"
"24";"35.702";"-0.593069";"7.92575";"0";"89.4339";"0";"0.0573632";"1.17316";"4.21858";"8.53772";"0";"1598432765007"
"25";"35.702";"-0.59297";"8.57517";"0";"89.7418";"0";"0.031615";"0.550666";"3.66792";"8.8777";"0";"1598432766035"
"26";"35.702";"-0.592868";"8.94561";"0";"89.406";"0";"0.0306131";"1.01993";"3.72298";"9.00938";"0";"1598432766979"
"27";"35.702";"-0.592756";"9.81645";"0";"88.0984";"0";"0.0386846";"1.12049";"4.16831";"8.76996";"0";"1598432768008"
"28";"35.702";"-0.592643";"10.4753";"0";"86.6572";"0";"0.103133";"1.10133";"5.20978";"8.44196";"0";"1598432768981"
"29";"35.702";"-0.592516";"10.4007";"0";"85.2388";"0";"0.0613867";"0.818817";"2.92093";"9.49301";"0";"1598432770016"
"30";"35.702";"-0.592397";"9.95613";"0";"84.5024";"0";"0.0503108";"0.557849";"2.54025";"9.16979";"0";"1598432770991"
"31";"35.702";"-0.59228";"9.80534";"0";"85.2175";"0";"0.0684439";"1.06781";"4.7884";"9.10275";"0";"1598432772015"
"32";"35.702";"-0.592162";"9.4598";"0";"86.0695";"0";"0.0489372";"0.984017";"3.72538";"8.52815";"0";"1598432773035"
"33";"35.702";"-0.592057";"9.82192";"0";"87.0078";"0";"0.00967058";"0.811634";"3.26569";"9.53371";"0";"1598432773991"
"34";"35.702";"-0.591943";"9.92692";"0";"87.7876";"0";"0.0551191";"0.792481";"3.11007";"8.89925";"0";"1598432775028"
"35";"35.702";"-0.591826";"10.0399";"0";"88.1625";"0";"0.0910269";"0.0981623";"4.17309";"10.24";"0";"1598432775993"
"36";"35.702";"-0.591712";"9.80344";"0";"88.7219";"0";"0.0607645";"1.52511";"2.68151";"6.83784";"0";"1598432777002"
"37";"35.702";"-0.591606";"9.09564";"0";"90.9235";"0";"0.0245225";"0.229843";"1.98719";"9.21768";"0";"1598432777945"
"38";"35.702";"-0.591498";"8.48478";"0";"93.0681";"0";"0.062286";"-0.296881";"1.14922";"9.18176";"0";"1598432779052"
"39";"35.702";"-0.591406";"7.97015";"0";"95.4118";"0";"0.00794488";"0.234632";"1.62327";"10.4986";"0";"1598432780026"
"40";"35.702";"-0.591324";"6.81731";"0";"96.6864";"0";"0.0252624";"0.995988";"1.21625";"9.9527";"0";"1598432780998"
"41";"35.7019";"-0.59126";"5.14866";"0";"97.8023";"0";"0.0466475";"0.181959";"1.28569";"8.88967";"0";"1598432781986"
"42";"35.7019";"-0.591221";"3.6332";"0";"96.4529";"0";"0.0222088";"0.0742203";"3.27048";"8.60715";"0";"1598432783058"
"43";"35.7019";"-0.591193";"2.33379";"0";"92.6671";"0";"0.0201811";"0.141258";"3.39258";"9.06205";"0";"1598432784035"
"44";"35.7019";"-0.591179";"1.56625";"0";"88.3641";"0";"0.035508";"0.794875";"3.47878";"9.06445";"0";"1598432785025"
"45";"35.7019";"-0.59117";"1.37438";"0";"79.516";"0";"0.00997098";"0.354342";"3.36864";"9.03332";"0";"1598432786033"
"46";"35.7019";"-0.591167";"1.01716";"0";"70.7136";"0";"0.00241687";"0.497994";"3.24175";"9.05727";"0";"1598432787042"
"47";"35.702";"-0.591169";"0.485536";"0";"67.4597";"0";"0.0287796";"0.545878";"3.28963";"9.14106";"0";"1598432788031"
"48";"35.702";"-0.591177";"0.347506";"0";"62.5377";"0";"0.0414781";"0.610521";"3.32555";"9.25598";"0";"1598432789008"
"49";"35.702";"-0.591195";"0.329363";"0";"57.0175";"0";"0.00570997";"0.562637";"3.19865";"9.03093";"0";"1598432790066"
"50";"35.702";"-0.591223";"0.243463";"0";"53.2682";"0";"0.0236904";"0.440533";"3.14359";"8.99023";"0";"1598432791026"
"51";"35.702";"-0.591239";"0.143286";"0";"59.906";"0";"0.00857625";"0.651223";"3.3854";"9.30387";"0";"1598432792001"
"52";"35.702";"-0.591254";"0.0811582";"0";"61.8711";"0";"0.00708852";"-0.0215478";"3.32315";"9.21528";"0";"1598432793052"
"53";"35.702";"-0.591271";"0.00324411";"0";"0";"0";"0.0309799";"0.227449";"3.41413";"9.41161";"0";"1598432794060"
"54";"35.702";"-0.591283";"0.000458586";"0";"0";"0";"0.0332184";"0.0694318";"3.36864";"9.20331";"0";"1598432795027"
"55";"35.702";"-0.591297";"7.99276e-05";"0";"0";"0";"0.0145074";"-0.323217";"3.80918";"8.36295";"0";"1598432795976"
"56";"35.702";"-0.591302";"1.0625";"0";"74.2688";"0";"0.00619078";"-0.129287";"4.15633";"8.55927";"0";"1598432797032"
"57";"35.702";"-0.591298";"2.35939";"0";"80.2648";"0";"0.0125156";"-0.560243";"4.13957";"8.72208";"0";"1598432798051"
"58";"35.702";"-0.591267";"3.66074";"0";"84.6133";"0";"0.0147942";"0.533907";"4.78362";"9.54808";"0";"1598432799020"
"59";"35.702";"-0.591222";"4.72297";"0";"87.3978";"0";"0.029306";"-0.873884";"4.02705";"8.57364";"0";"1598432800027"
"60";"35.702";"-0.591171";"5.92765";"0";"89.778";"0";"0.0595943";"0.572214";"4.69742";"8.33182";"0";"1598432801052"
"61";"35.7019";"-0.591105";"6.62473";"0";"91.6209";"0";"0.0650294";"0.474052";"3.66792";"10.9918";"0";"1598432802067"
"62";"35.7019";"-0.591036";"6.54548";"0";"93.6763";"0";"0.117002";"0.189142";"3.56975";"7.78116";"0";"1598432803119"
"63";"35.7019";"-0.590965";"7.00875";"0";"94.9975";"0";"0.119393";"0.562637";"4.32872";"10.671";"0";"1598432804051"
"64";"35.7019";"-0.590886";"7.74311";"0";"94.1037";"0";"0.0299269";"0.912191";"3.80918";"10.6686";"0";"1598432805047"
"65";"35.7019";"-0.590802";"8.46353";"0";"91.924";"0";"0.106203";"0.519542";"2.86107";"6.33745";"0";"1598432805947"
"66";"35.7019";"-0.590703";"9.21244";"0";"90.1852";"0";"0.165059";"0.0885855";"2.88262";"6.72531";"0";"1598432806963"
"67";"35.7019";"-0.590593";"9.90065";"0";"88.8112";"0";"0.0170602";"0.407014";"4.24013";"10.2496";"0";"1598432807964"
"68";"35.7019";"-0.590477";"10.7525";"0";"87.8884";"0";"0.0380984";"1.08697";"5.10923";"8.86094";"0";"1598432809005"
"69";"35.7019";"-0.590354";"11.432";"0";"87.6573";"0";"0.0827626";"0.505177";"3.86903";"8.588";"0";"1598432810031"
"70";"35.7019";"-0.590229";"12.2728";"0";"89.1087";"0";"0.0101193";"0.950498";"4.01747";"8.22648";"0";"1598432810995"
"71";"35.7019";"-0.590087";"12.5821";"0";"89.8134";"0";"0.0264968";"0.318429";"2.29125";"7.91284";"0";"1598432812034"
"72";"35.7019";"-0.589951";"12.1766";"0";"90.0589";"0";"0.0509236";"0.723049";"2.62883";"8.4635";"0";"1598432812997"
"73";"35.7019";"-0.589818";"12.353";"0";"89.4391";"0";"0.0610728";"0.6608";"3.82354";"10.398";"0";"1598432813986"
"74";"35.7019";"-0.589677";"12.695";"0";"88.8616";"0";"0.0798579";"0.407014";"3.53145";"8.78433";"0";"1598432815057"
"75";"35.7019";"-0.589539";"13.2262";"0";"87.9551";"0";"0.106321";"1.17316";"3.39737";"8.18578";"0";"1598432816013"
"76";"35.7019";"-0.589391";"13.6017";"0";"88.3446";"0";"0.0567379";"0.641646";"4.46758";"10.3406";"0";"1598432817048"
"77";"35.7019";"-0.589245";"13.8318";"0";"89.055";"0";"0.0794898";"0.78051";"4.31435";"10.2951";"0";"1598432817985"
"78";"35.7019";"-0.589088";"14.0361";"0";"88.6651";"0";"0.0879835";"-0.509965";"3.03585";"8.4635";"0";"1598432819028"
"79";"35.7019";"-0.588929";"14.3147";"0";"88.2562";"0";"0.0319172";"0.560243";"4.21619";"9.34696";"0";"1598432820008"
"80";"35.7019";"-0.588773";"14.5833";"0";"88.0859";"0";"0.142271";"1.46046";"4.60166";"11.1713";"0";"1598432820971"
"81";"35.7019";"-0.588606";"14.7349";"0";"88.0756";"0";"0.186768";"0.59855";"3.63679";"8.88967";"0";"1598432822010"
