"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"6795";"36.7241";"2.99075";"9.76889";"0.228473";"329.998";"0.0112624";"0.102763";"-1.21386";"3.6763";"9.10275";"0";"1598934091872"
"6796";"36.7242";"2.99069";"10.2993";"0.228473";"329.999";"0.010427";"0.0944064";"-3.13521";"2.6025";"7.67342";"0";"1598934092869"
"6797";"36.7243";"2.99063";"11.0489";"0.237697";"329.998";"0.0101307";"0.265362";"-3.93726";"2.48159";"9.57561";"0";"1598934093866"
"6798";"36.7244";"2.99056";"11.5095";"0.246982";"328.001";"0.00952401";"0.216861";"-3.7984";"3.11366";"8.76038";"0";"1598934094859"
"6799";"36.7244";"2.99049";"11.7896";"0.228473";"327.999";"0.00911345";"0.248379";"-2.22182";"2.49715";"7.52737";"0";"1598934095872"
"6800";"36.7245";"2.99042";"11.5704";"0.237697";"327.002";"0.00926849";"0.129192";"-2.95684";"3.23816";"8.2983";"0";"1598934096887"
"6801";"36.7246";"2.99035";"11.1104";"0.201246";"328";"0.00912205";"0.205463";"-3.07894";"2.84431";"7.38492";"0";"1598934097866"
"6802";"36.7247";"2.99029";"10.75";"0.166433";"331.999";"0.00971389";"0.243528";"-1.31801";"4.48314";"8.99023";"0";"1598934098876"
"6803";"36.7248";"2.99025";"9.75056";"0.166433";"337";"0.0112642";"0.0755457";"-1.40061";"3.79481";"8.22169";"0";"1598934099871"
"6804";"36.7249";"2.99021";"9.06065";"0.201246";"341";"0.0119649";"0.129974";"-0.746991";"4.22816";"9.67377";"0";"1598934100871"
"6805";"36.7249";"2.99018";"8.16102";"0.223607";"352";"0.0144704";"0.158661";"-1.79805";"5.19542";"8.01698";"0";"1598934101886"
"6806";"36.725";"2.99018";"7.90216";"0.488774";"5.99677";"0.0362666";"0.0913623";"-1.83755";"4.18028";"9.67257";"0";"1598934102880"
"6807";"36.7251";"2.9902";"6.84428";"0.300167";"22.9747";"0.0256944";"0.21544";"-2.1895";"2.2278";"8.30668";"0";"1598934103877"
