"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1761";"35.7516";"-0.559956";"6.26829";"0";"200.718";"0";"0.0135316";"-0.727837";"7.35499";"6.39731";"0";"1597331199239"
"1762";"35.7515";"-0.559983";"6.40452";"0";"200.227";"0";"0.26055";"4.40533";"4.7501";"-24.3634";"0";"1597331200277"
"1763";"35.7515";"-0.559992";"6.40237";"0";"200.019";"0";"0.524195";"-1.53229";"11.3006";"13.6757";"0";"1597331200982"
"1764";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597332562005"
"1765";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597332562325"
"1766";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597332562375"
"1767";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597332562402"
"1768";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597332562424"
"1769";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597332562452"
"1770";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597332853000"
"1771";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597333460783"
"1772";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597334086681"
"1773";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597334586309"
"1774";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597335066083"
"1775";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597335594523"
"1776";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597336514778"
"1777";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597337114740"
"1778";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597337770956"
"1779";"35.7499";"-0.556672";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597338410488"
"1780";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597339064326"
"1781";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597339731008"
"1782";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597340364234"
"1783";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597340964317"
"1784";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597341600960"
"1785";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597342203345"
"1786";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597342865687"
"1787";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597343480664"
"1788";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597344110865"
"1789";"35.7499";"-0.556672";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597344714620"
"1790";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597345320371"
"1791";"35.7499";"-0.556672";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597345920658"
"1792";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597346520518"
"1793";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597347120374"
"1794";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597347720725"
"1795";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597348320716"
"1796";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597348952216"
"1797";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597349552267"
"1798";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597350153049"
"1799";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597350752648"
"1800";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597351352341"
"1801";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597351993112"
"1802";"35.7499";"-0.556671";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597352670002"
"1803";"35.7499";"-0.55667";"0";"0";"0";"0";"0.0110485";"0.191536";"0.536301";"9.99819";"0";"1597352670102"
