"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1481";"35.7503";"-0.559613";"9.23153";"0";"101.806";"0";"0.0224397";"0.612916";"6.66546";"7.69975";"0";"1597069215889"
"1482";"35.7502";"-0.559508";"9.28875";"0";"98.3181";"0";"0.0183219";"0.995988";"7.89129";"6.01423";"0";"1597069216905"
"1483";"35.7502";"-0.559404";"8.62313";"0";"96.6581";"0";"0.0183219";"1.37906";"6.97192";"7.85298";"0";"1597069218202"
"1484";"35.7502";"-0.558144";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597069853781"
"1485";"35.7501";"-0.557256";"0.128562";"0";"96.056";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597069854045"
"1486";"35.75";"-0.556714";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597069854152"
"1487";"35.75";"-0.556713";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597070511203"
"1488";"35.75";"-0.556713";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597071147537"
"1489";"35.75";"-0.556713";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597071819273"
"1490";"35.75";"-0.556713";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597072419335"
"1491";"35.75";"-0.556713";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597073019395"
"1492";"35.75";"-0.556713";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597073619528"
"1493";"35.75";"-0.556713";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597074219616"
"1494";"35.75";"-0.556713";"0";"0";"0";"0";"0.45262";"7.31668";"5.17148";"5.43963";"0";"1597074819553"
"1495";"35.7525";"-0.5608";"0";"0";"0";"0";"0.635483";"1.41737";"6.93361";"9.30866";"0";"1597330949788"
"1496";"35.7518";"-0.561983";"6.47451e-05";"0";"234.373";"0";"0.0135316";"0.651223";"7.9679";"6.12916";"0";"1597330955468"
"1497";"35.7517";"-0.56058";"0.328307";"0";"97.7249";"0";"0.247331";"6.70376";"8.61913";"10.9942";"1";"1597330959546"
"1498";"35.7518";"-0.560756";"3.11225";"0";"309.198";"0";"0.0549658";"6.05254";"6.58884";"6.01423";"0";"1597330960528"
"1499";"35.7518";"-0.560808";"4.13577";"0";"308.477";"0";"0.052262";"9.27035";"4.59687";"1.49398";"0";"1597330961187"
"1500";"35.7518";"-0.560773";"1.07408";"0";"290.741";"0";"0.0625";"5.43963";"6.62715";"6.01423";"0";"1597330961274"
"1501";"35.7517";"-0.560679";"3.59592";"0";"117.163";"0";"0.00676582";"5.40132";"7.16345";"1.99198";"0";"1597330962268"
"1502";"35.7517";"-0.56063";"3.88902";"0";"115.039";"0";"0.0317345";"5.63116";"8.42759";"-0.344765";"0";"1597330963250"
"1503";"35.7516";"-0.560573";"4.3107";"0";"116.848";"0";"0.00956831";"6.359";"8.19775";"-0.153229";"0";"1597330964258"
"1504";"35.7516";"-0.560509";"5.0985";"0";"113.068";"0";"0.0165728";"5.59285";"8.08282";"-0.0766145";"0";"1597330965276"
"1505";"35.7516";"-0.560436";"5.74039";"0";"113.177";"0";"0.0300044";"5.86101";"7.62314";"-4.02226";"0";"1597330966269"
"1506";"35.7515";"-0.560361";"6.46446";"0";"114.483";"0";"0.00781254";"5.70778";"7.01022";"-2.6432";"0";"1597330967243"
"1507";"35.7515";"-0.560278";"6.74939";"0";"115.144";"0";"0.0368515";"7.9296";"7.85298";"-2.83473";"0";"1597330968279"
"1508";"35.7515";"-0.560198";"6.66041";"0";"117.492";"0";"0.0117187";"7.24007";"6.55054";"1.11091";"0";"1597330969248"
"1509";"35.7514";"-0.560126";"5.41646";"0";"117.346";"0";"0.00781249";"6.66546";"7.12514";"0.383072";"0";"1597330970260"
"1510";"35.7514";"-0.560071";"3.03623";"0";"119.09";"0";"0.0394512";"6.359";"8.31267";"-1.0343";"0";"1597330971274"
"1511";"35.7514";"-0.560042";"0.543578";"0";"132.308";"0";"0.0351562";"5.63116";"8.58082";"-1.72383";"0";"1597330972274"
"1512";"35.7514";"-0.560036";"1.79354";"0";"157.399";"0";"0.0278962";"5.78439";"8.61913";"-1.87705";"0";"1597330973240"
"1513";"35.7514";"-0.560032";"3.14729";"0";"198.462";"0";"0";"4.40533";"8.88728";"0.766145";"0";"1597330974251"
"1514";"35.7514";"-0.560048";"4.81846";"0";"203.081";"0";"0.00676582";"5.70778";"8.12113";"0.727837";"0";"1597330975260"
"1515";"35.7513";"-0.560074";"6.38053";"0";"201.673";"0";"0.00676587";"6.78038";"7.08684";"1.11091";"0";"1597330976254"
"1516";"35.7513";"-0.560103";"7.13047";"0";"201.953";"0";"0.0165728";"6.8953";"7.04853";"0.881066";"0";"1597330977266"
"1517";"35.7512";"-0.560136";"6.94886";"0";"204.125";"0";"0.0117188";"6.66546";"7.08684";"-0.344765";"0";"1597330978266"
"1518";"35.7511";"-0.560167";"5.83117";"0";"207.463";"0";"0.0294915";"5.63116";"7.77637";"-0.0383072";"0";"1597330979281"
