"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"2647";"35.6976";"-0.633487";"0.249098";"0";"173.724";"0";"0.104135";"1.47487";"2.12851";"9.96976";"0";"1593544244915"
"2648";"35.6976";"-0.633487";"0.184765";"0";"174.212";"0";"0.102893";"0.158022";"4.61856";"7.68562";"0";"1593544245940"
"2649";"35.6976";"-0.633486";"0.183138";"0";"174.162";"0";"0.0110543";"6.58426";"-0.462095";"-7.1493";"0";"1593544252592"
"2650";"35.6978";"-0.633574";"0";"0";"0";"0";"0.085555";"5.00882";"0.457306";"-8.38715";"0";"1593544515794"
"2651";"35.6978";"-0.633567";"0";"0";"0";"0";"0.00799373";"4.91305";"-0.00718282";"-8.48531";"0";"1593544574300"
"2652";"35.6977";"-0.633587";"0";"0";"0";"0";"0.0204546";"-0.00718282";"4.30491";"8.6553";"0";"1593544705889"
"2653";"35.6977";"-0.633587";"0";"0";"90";"0";"0.150259";"3.44057";"4.91784";"5.71513";"0";"1593544711198"
"2654";"35.6977";"-0.633558";"0";"0";"0";"0";"0.0034614";"3.30649";"-0.57702";"-9.18444";"0";"1593544748677"
"2655";"35.6962";"-0.633298";"0";"0";"0";"0";"0.0034614";"3.30649";"-0.57702";"-9.18444";"0";"1593545050313"
"2656";"35.6977";"-0.633565";"0";"0";"0";"0";"0.0034614";"3.30649";"-0.57702";"-9.18444";"0";"1593545113804"
"2657";"35.6978";"-0.63357";"0";"0";"0";"0";"0.0034614";"3.30649";"-0.57702";"-9.18444";"0";"1593545415656"
"2658";"35.6978";"-0.633566";"0";"0";"0";"0";"0.0034614";"3.30649";"-0.57702";"-9.18444";"0";"1593545461616"
"2659";"35.6978";"-0.633564";"0";"0";"0";"0";"0.0034614";"3.30649";"-0.57702";"-9.18444";"0";"1593545717202"
"2660";"35.6978";"-0.633565";"0";"0";"0";"0";"0.0034614";"3.30649";"-0.57702";"-9.18444";"0";"1593545775973"
"2661";"35.6978";"-0.633569";"0";"0";"0";"0";"0.0034614";"3.30649";"-0.57702";"-9.18444";"0";"1593546404615"
"2662";"35.6933";"-0.633194";"0";"0";"0";"0";"0.0525026";"-0.0790111";"7.32888";"6.45975";"0";"1593623657021"
"2663";"35.693";"-0.634341";"9.21445";"0";"260.812";"0";"0.0123216";"0.917007";"4.27618";"7.92984";"0";"1593623659746"
"2664";"35.693";"-0.634412";"11.4402";"0";"258.624";"0";"0.00126864";"0.102954";"3.9314";"8.46855";"0";"1593623660744"
"2665";"35.6929";"-0.634503";"11.4993";"0";"257.916";"0";"0.022946";"-0.225062";"5.22431";"9.94582";"0";"1593623661787"
"2666";"35.6929";"-0.634617";"9.04666";"0";"261.787";"0";"0.0321145";"0.665608";"4.41504";"10.0799";"0";"1593623662804"
"2667";"35.6929";"-0.634834";"7.72013";"0";"274.831";"0";"0.064426";"1.85077";"2.58582";"8.15251";"0";"1593623664593"
"2668";"35.6929";"-0.634931";"7.27837";"0";"297.336";"0";"0.0363453";"2.35118";"4.37673";"10.214";"0";"1593623665618"
"2669";"35.693";"-0.634992";"1.36573";"0";"296.68";"0";"0.176945";"2.02316";"5.55951";"9.27781";"0";"1593623666604"
"2670";"35.693";"-0.635023";"1.60833";"0";"329.766";"0";"0.0316056";"3.68718";"4.15167";"7.89392";"0";"1593623667583"
"2671";"35.6931";"-0.63506";"6.01591";"0";"357.738";"0";"0.0259246";"2.65286";"4.26899";"9.41668";"0";"1593623669039"
"2672";"35.6932";"-0.635068";"7.00692";"0";"7.15258";"0";"0.0861548";"2.15245";"5.04474";"8.43264";"0";"1593623670036"
"2673";"35.6933";"-0.635046";"7.23702";"0";"15.8765";"0";"0.0770244";"1.8819";"4.57785";"7.70478";"0";"1593623670982"
"2674";"35.6933";"-0.635012";"6.82368";"0";"20.9964";"0";"0.0365432";"1.43178";"3.35677";"10.1517";"0";"1593623672032"
"2675";"35.6934";"-0.634981";"5.79899";"0";"22.8911";"0";"0.116532";"0.0622511";"6.27539";"9.61062";"0";"1593623673028"
"2676";"35.6934";"-0.634957";"4.96679";"0";"23.6323";"0";"0.0863062";"1.55149";"5.28895";"7.0248";"0";"1593623674019"
"2677";"35.6935";"-0.63494";"4.69724";"0";"24.8091";"0";"0.0167931";"1.0439";"6.34722";"7.38394";"0";"1593623675102"
"2678";"35.6935";"-0.634938";"4.69637";"0";"24.9092";"0";"0.0138175";"1.28333";"5.76302";"5.80851";"0";"1593623675404"
"2679";"35.6935";"-0.634915";"4.86134";"0";"25.7407";"0";"0.0144522";"1.59938";"5.82288";"8.00885";"0";"1593623676119"
"2680";"35.6935";"-0.634889";"5.11885";"0";"25.9622";"0";"0.00770521";"-0.0550683";"4.93699";"7.92266";"0";"1593623677080"
"2681";"35.6936";"-0.634862";"5.27724";"0";"25.3782";"0";"0.0520855";"1.30727";"5.30571";"8.05913";"0";"1593623678048"
"2682";"35.6936";"-0.634835";"5.32836";"0";"25.1869";"0";"0.0169257";"-0.107742";"4.58025";"9.6585";"0";"1593623679036"
"2683";"35.6936";"-0.634811";"5.13242";"0";"24.4967";"0";"0.0972727";"1.68557";"7.83167";"15.0624";"0";"1593623680041"
"2684";"35.6937";"-0.63479";"4.7276";"0";"23.571";"0";"0.0575004";"-0.126897";"4.15167";"8.02082";"0";"1593623681053"
"2685";"35.6937";"-0.634778";"4.3374";"0";"21.784";"0";"0.0313842";"-0.524346";"6.16047";"8.26504";"0";"1593623682056"
"2686";"35.6937";"-0.634765";"3.78802";"0";"18.2394";"0";"0.0213863";"0.960104";"5.52599";"8.05674";"0";"1593623683064"
"2687";"35.6938";"-0.634754";"3.42686";"0";"9.40176";"0";"0.00916453";"-0.244216";"6.33046";"7.98491";"0";"1593623684066"
"2688";"35.6938";"-0.634751";"3.2804";"0";"354.23";"0";"0.029873";"0.308861";"6.03357";"6.86917";"0";"1593623685039"
"2689";"35.6938";"-0.634758";"3.23151";"0";"343.023";"0";"0.0460315";"-0.447729";"7.38155";"7.87716";"0";"1593623686089"
"2690";"35.6939";"-0.634771";"3.21706";"0";"330.07";"0";"0.0328323";"-0.792505";"7.24508";"6.65369";"0";"1593623687050"
"2691";"35.6939";"-0.634779";"3.20196";"0";"330.109";"0";"0.0127355";"-0.478855";"7.05353";"7.97054";"0";"1593623687564"
"2692";"35.6939";"-0.634791";"3.36667";"0";"324.487";"0";"0.0218277";"-0.517163";"5.73908";"7.88914";"0";"1593623688086"
"2693";"35.6939";"-0.634816";"3.69558";"0";"313.679";"0";"0.0204094";"-0.775745";"5.96893";"9.41908";"0";"1593623689053"
"2694";"35.6939";"-0.634846";"4.13065";"0";"300.901";"0";"0.0271795";"-0.641666";"2.56906";"9.75906";"0";"1593623690105"
"2695";"35.6939";"-0.634895";"4.50632";"0";"290.628";"0";"0.0144089";"1.7143";"6.11258";"6.89551";"0";"1593623691051"
"2696";"35.694";"-0.634944";"4.70984";"0";"288.056";"0";"0.0218618";"3.00003";"5.56908";"7.70717";"0";"1593623692047"
"2697";"35.694";"-0.635009";"5.25481";"0";"287.331";"0";"0.00909266";"2.34878";"6.38074";"7.20198";"0";"1593623693081"
"2698";"35.694";"-0.635078";"5.79074";"0";"287.272";"0";"0.0520139";"3.62254";"6.07428";"6.22033";"0";"1593623694030"
"2699";"35.694";"-0.635154";"6.21116";"0";"287.849";"0";"0.106415";"2.23146";"7.36";"6.63693";"0";"1593623695026"
"2700";"35.694";"-0.635234";"6.46374";"0";"289.706";"0";"0.0608032";"2.90904";"6.92664";"7.76463";"0";"1593623696069"
"2701";"35.6941";"-0.63531";"6.43974";"0";"291.908";"0";"0.0594079";"3.51719";"7.31451";"8.93304";"0";"1593623697023"
"2702";"35.6941";"-0.635381";"6.33528";"0";"293.311";"0";"0.0271235";"3.22988";"6.19159";"6.67763";"0";"1593623698029"
"2703";"35.6941";"-0.635451";"6.36042";"0";"294.238";"0";"0.0101754";"2.58342";"6.11019";"6.07667";"0";"1593623699030"
"2704";"35.6941";"-0.635517";"6.57369";"0";"294.42";"0";"0.0130705";"2.9689";"7.30493";"7.36479";"0";"1593623700014"
"2705";"35.6941";"-0.635586";"6.74987";"0";"293.871";"0";"0.088546";"2.15245";"6.44539";"5.98808";"0";"1593623701006"
"2706";"35.6942";"-0.63566";"7.12018";"0";"293.765";"0";"0.0505493";"2.55709";"5.90428";"6.4813";"0";"1593623702054"
"2707";"35.6942";"-0.635739";"7.46233";"0";"293.957";"0";"0.0464081";"2.22189";"6.53876";"7.89153";"0";"1593623703071"
"2708";"35.6942";"-0.63582";"7.5821";"0";"300.904";"0";"0.0220627";"2.6337";"6.59623";"7.12297";"0";"1593623704045"
"2709";"35.6943";"-0.635897";"7.71196";"0";"303.74";"0";"0.0853667";"3.47409";"7.23789";"7.47253";"0";"1593623705052"
"2710";"35.6943";"-0.635972";"7.85002";"0";"304.617";"0";"0.0464838";"2.63849";"6.16047";"6.09582";"0";"1593623705990"
"2711";"35.6944";"-0.636048";"7.84203";"0";"301.849";"0";"0.0504111";"2.83961";"6.86439";"6.96973";"0";"1593623707004"
"2712";"35.6944";"-0.636129";"8.15385";"0";"299.804";"0";"0.0409631";"3.28734";"7.12057";"7.25465";"0";"1593623708044"
"2713";"35.6944";"-0.636213";"8.36803";"0";"299.863";"0";"0.101813";"3.56986";"6.69918";"6.46454";"0";"1593623709046"
"2714";"35.6945";"-0.636295";"8.35694";"0";"301.302";"0";"0.0373674";"3.64169";"6.41426";"6.93143";"0";"1593623710112"
